Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Moreirense,Academico Viseu,2-0,https://www.besoccer.com/match/moreirense-fc/academico-viseu/201465142,2014,1,segunda_liga,58,37,2,0,3,0,,2014
Trofense,Benfica II,0-0,https://www.besoccer.com/match/trofense/benfica-ii/201465144,2014,1,segunda_liga,54,55,4,0,2,0,,2014
Portimonense,Farense,3-0,https://www.besoccer.com/match/portimonense/farense/201465143,2014,1,segunda_liga,55,38,3,0,2,0,,2014
Marítimo II,SC Covilha ,1-0,https://www.besoccer.com/match/maritimo-ii/sporting-covilha/201465150,2014,1,segunda_liga,44,48,2,0,1,0,,2014
Penafiel,UD Oliveirense,1-0,https://www.besoccer.com/match/penafiel/ud-oliveirense/201465145,2014,1,segunda_liga,56,54,1,0,2,0,,2014
Sporting Braga II,Tondela,1-2,https://www.besoccer.com/match/sporting-braga-ii/tondela/201465147,2014,1,segunda_liga,53,46,0,0,0,0,,2014
Leixões,Feirense,3-0,https://www.besoccer.com/match/leixoes/feirense/201465148,2014,1,segunda_liga,59,54,3,0,4,0,,2014
Desportivo Aves,União Madeira,0-2,https://www.besoccer.com/match/desportivo-aves/uniao-madeira/201465149,2014,1,segunda_liga,56,55,0,0,3,0,,2014
CD Santa Clara,Chaves,0-1,https://www.besoccer.com/match/santa-clara/chaves/201465151,2014,1,segunda_liga,53,52,3,0,4,0,,2014
Atlético CP,Sporting CP II,1-0,https://www.besoccer.com/match/atletico-cp/sporting-cp-ii/201465146,2014,1,segunda_liga,52,55,2,0,1,0,,2014
Beira Mar SC,Porto II,2-3,https://www.besoccer.com/match/beira-mar/porto-ii/201465152,2014,1,segunda_liga,59,54,4,0,0,0,,2014
Academico Viseu,Sporting Braga II,0-1,https://www.besoccer.com/match/academico-viseu/sporting-braga-ii/201465153,2014,2,segunda_liga,37,53,0,0,0,0,,2014
Sporting CP II,Beira Mar SC,3-1,https://www.besoccer.com/match/sporting-cp-ii/beira-mar/201465154,2014,2,segunda_liga,55,59,2,0,2,0,,2014
