Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Os Belenenses,Feirense,3-1,https://www.besoccer.com/match/belenenses/feirense/2013477650,2013,1,segunda_liga,61,52,2,0,1,0,,2013
UD Oliveirense,Sporting CP II,1-0,https://www.besoccer.com/match/ud-oliveirense/sporting-cp-ii/2013477651,2013,1,segunda_liga,52,52,3,0,2,0,,2013
Benfica II,Sporting Braga II,2-2,https://www.besoccer.com/match/benfica-ii/sporting-braga-ii/2013477652,2013,1,segunda_liga,52,52,2,0,4,0,,2013
Tondela,Porto II,2-2,https://www.besoccer.com/match/tondela/porto-ii/2013477653,2013,1,segunda_liga,43,52,4,1,3,1,,2013
Naval,CD Santa Clara,1-3,https://www.besoccer.com/match/naval/santa-clara/2013477654,2013,1,segunda_liga,60,51,5,0,3,0,,2013
Vitória Guimarães B,SC Covilha ,0-0,https://www.besoccer.com/match/vitoria-guimar/sporting-covilha/2013477655,2013,1,segunda_liga,53,46,4,0,3,0,,2013
União Madeira,SC Freamunde,2-1,https://www.besoccer.com/match/uniao-madeira/sc-freamunde/2013477656,2013,1,segunda_liga,53,48,1,0,2,0,,2013
Penafiel,Atlético CP,2-0,https://www.besoccer.com/match/penafiel/atletico-cp/2013477657,2013,1,segunda_liga,55,53,2,1,2,1,,2013
Leixões,Marítimo II,1-0,https://www.besoccer.com/match/leixoes/maritimo-ii/2013477658,2013,1,segunda_liga,56,42,4,0,2,0,,2013
Portimonense,Arouca,1-3,https://www.besoccer.com/match/portimonense/arouca/2013477659,2013,1,segunda_liga,52,53,3,0,4,0,,2013
Desportivo Aves,Trofense,2-0,https://www.besoccer.com/match/desportivo-aves/trofense/2013477660,2013,1,segunda_liga,54,55,3,0,3,0,,2013
Atlético CP,Leixões,1-0,https://www.besoccer.com/match/atletico-cp/leixoes/2013477661,2013,2,segunda_liga,52,56,0,0,2,0,,2013
SC Covilha ,UD Oliveirense,1-1,https://www.besoccer.com/match/sporting-covilha/ud-oliveirense/2013477662,2013,2,segunda_liga,46,52,4,0,3,0,,2013
Trofense,Portimonense,2-1,https://www.besoccer.com/match/trofense/portimonense/2013477663,2013,2,segunda_liga,54,52,1,0,2,0,,2013
Porto II,União Madeira,0-0,https://www.besoccer.com/match/porto-ii/uniao-madeira/2013477664,2013,2,segunda_liga,52,53,2,0,4,0,,2013
Sporting CP II,Vitória Guimarães B,1-0,https://www.besoccer.com/match/sporting-cp-ii/vitoria-guimar/2013477665,2013,2,segunda_liga,52,53,1,0,0,0,,2013
Feirense,Benfica II,2-4,https://www.besoccer.com/match/feirense/benfica-ii/2013477666,2013,2,segunda_liga,52,52,1,0,4,0,,2013
Marítimo II,Penafiel,2-0,https://www.besoccer.com/match/maritimo-ii/penafiel/2013477667,2013,2,segunda_liga,42,55,1,0,3,0,,2013
Arouca,Desportivo Aves,1-1,https://www.besoccer.com/match/arouca/desportivo-aves/2013477668,2013,2,segunda_liga,53,54,1,1,3,1,,2013
SC Freamunde,Tondela,0-1,https://www.besoccer.com/match/sc-freamunde/tondela/2013477669,2013,2,segunda_liga,48,43,2,0,3,0,,2013
CD Santa Clara,Os Belenenses,1-4,https://www.besoccer.com/match/santa-clara/belenenses/2013477670,2013,2,segunda_liga,51,61,5,0,4,0,,2013
Sporting Braga II,Naval,0-0,https://www.besoccer.com/match/sporting-braga-ii/naval/2013477671,2013,2,segunda_liga,52,60,3,0,3,0,,2013
UD Oliveirense,Marítimo II,1-0,https://www.besoccer.com/match/ud-oliveirense/maritimo-ii/2013477672,2013,3,segunda_liga,52,42,6,0,2,0,,2013
Vitória Guimarães B,Atlético CP,2-0,https://www.besoccer.com/match/vitoria-guimar/atletico-cp/2013477673,2013,3,segunda_liga,52,53,2,0,2,0,,2013
Leixões,Feirense,1-0,https://www.besoccer.com/match/leixoes/feirense/2013477674,2013,3,segunda_liga,56,52,5,1,2,1,,2013
Tondela,Trofense,1-2,https://www.besoccer.com/match/tondela/trofense/2013477675,2013,3,segunda_liga,44,55,3,0,4,0,,2013
Os Belenenses,Sporting Braga II,1-0,https://www.besoccer.com/match/belenenses/sporting-braga-ii/2013477676,2013,3,segunda_liga,61,52,1,0,3,0,,2013
Sporting CP II,SC Covilha ,2-1,https://www.besoccer.com/match/sporting-cp-ii/sporting-covilha/2013477677,2013,3,segunda_liga,52,46,4,0,1,0,,2013
Portimonense,Porto II,1-1,https://www.besoccer.com/match/portimonense/porto-ii/2013477678,2013,3,segunda_liga,52,52,6,0,3,0,,2013
Penafiel,Arouca,0-3,https://www.besoccer.com/match/penafiel/arouca/2013477679,2013,3,segunda_liga,55,53,4,0,2,0,,2013
Naval,Benfica II,2-1,https://www.besoccer.com/match/naval/benfica-ii/2013477680,2013,3,segunda_liga,60,53,5,0,4,0,,2013
Desportivo Aves,SC Freamunde,0-0,https://www.besoccer.com/match/desportivo-aves/sc-freamunde/2013477681,2013,3,segunda_liga,54,48,2,1,5,1,,2013
União Madeira,CD Santa Clara,2-1,https://www.besoccer.com/match/uniao-madeira/santa-clara/2013477682,2013,3,segunda_liga,53,51,1,0,2,0,,2013
Marítimo II,Vitória Guimarães B,2-0,https://www.besoccer.com/match/maritimo-ii/vitoria-guimar/2013477683,2013,4,segunda_liga,42,53,1,0,2,0,,2013
