Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Estoril,Arouca,1-0,https://www.besoccer.com/match/estoril/arouca/202184185,2021,1,segunda_liga,60,51,3,0,3,0,,2021
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/202184195,2021,1,segunda_liga,51,47,1,0,1,0,,2021
Cova Piedade,Mafra,0-4,https://www.besoccer.com/match/cova-piedade/mafra/202184180,2021,1,segunda_liga,47,48,3,0,3,0,,2021
Leixões,Casa Pia,2-2,https://www.besoccer.com/match/leixoes/casa-pia/202184198,2021,1,segunda_liga,54,44,1,0,1,0,,2021
Benfica II,Vilafranquense,3-2,https://www.besoccer.com/match/benfica-ii/vilafranquense/202184203,2021,1,segunda_liga,52,43,1,0,3,0,,2021
Varzim,Porto II,1-0,https://www.besoccer.com/match/varzim/porto-ii/202184207,2021,1,segunda_liga,54,52,3,0,2,0,,2021
Penafiel,SC Covilha ,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/202184190,2021,1,segunda_liga,55,53,3,0,0,0,,2021
Academico Viseu,Académica,0-0,https://www.besoccer.com/match/academico-viseu/academica/202184177,2021,1,segunda_liga,54,57,0,0,1,0,,2021
Feirense,Chaves,0-4,https://www.besoccer.com/match/feirense/chaves/202184182,2021,1,segunda_liga,59,58,1,0,4,0,,2021
UD Oliveirense,Penafiel,2-1,https://www.besoccer.com/match/ud-oliveirense/penafiel/202184215,2021,2,segunda_liga,47,55,2,0,1,0,,2021
Chaves,Varzim,0-0,https://www.besoccer.com/match/chaves/varzim/202184211,2021,2,segunda_liga,58,54,4,0,2,0,,2021
Vilafranquense,Feirense,0-4,https://www.besoccer.com/match/vilafranquense/feirense/202184217,2021,2,segunda_liga,43,59,1,0,2,0,,2021
Casa Pia,Benfica II,0-6,https://www.besoccer.com/match/casa-pia/benfica-ii/202184192,2021,2,segunda_liga,44,52,1,0,2,0,,2021
Mafra,Academico Viseu,1-0,https://www.besoccer.com/match/mafra/academico-viseu/202184205,2021,2,segunda_liga,48,54,2,0,3,0,,2021
Arouca,Leixões,0-0,https://www.besoccer.com/match/arouca/leixoes/202184208,2021,2,segunda_liga,51,54,2,0,4,0,,2021
Porto II,Vizela,4-1,https://www.besoccer.com/match/porto-ii/vizela/202184209,2021,2,segunda_liga,52,51,2,0,4,0,,2021
SC Covilha ,Cova Piedade,1-3,https://www.besoccer.com/match/sporting-covilha/cova-piedade/202184214,2021,2,segunda_liga,53,47,3,1,3,1,,2021
Académica,Estoril,1-0,https://www.besoccer.com/match/academica/estoril/202184200,2021,2,segunda_liga,57,60,3,0,4,0,,2021
Vizela,SC Covilha ,2-1,https://www.besoccer.com/match/vizela/sporting-covilha/202184677,2021,3,segunda_liga,51,53,2,0,2,0,,2021
Feirense,Casa Pia,2-1,https://www.besoccer.com/match/feirense/casa-pia/202184672,2021,3,segunda_liga,59,44,2,0,7,0,,2021
Varzim,Arouca,0-0,https://www.besoccer.com/match/varzim/arouca/202184676,2021,3,segunda_liga,54,51,1,0,4,0,,2021
Benfica II,Chaves,3-4,https://www.besoccer.com/match/benfica-ii/chaves/202184670,2021,3,segunda_liga,52,58,1,0,4,0,,2021
Cova Piedade,Académica,0-0,https://www.besoccer.com/match/cova-piedade/academica/202184671,2021,3,segunda_liga,47,57,1,0,3,0,,2021
UD Oliveirense,Porto II,2-2,https://www.besoccer.com/match/ud-oliveirense/porto-ii/202184674,2021,3,segunda_liga,47,52,2,0,0,0,,2021
Penafiel,Vilafranquense,1-2,https://www.besoccer.com/match/penafiel/vilafranquense/202184675,2021,3,segunda_liga,55,43,0,0,3,0,,2021
