Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Uniao Lamas,Nacional,2-1,https://www.besoccer.com/match/uniao-lamas/nacional/20019782,2001,1,segunda_liga,45,58,0,0,0,0,,2001
FC Marco,CD Santa Clara,0-2,https://www.besoccer.com/match/fc-marco/santa-clara/20019783,2001,1,segunda_liga,52,52,0,0,0,0,,2001
Penafiel,Rio Ave,1-0,https://www.besoccer.com/match/penafiel/rio-ave/20019784,2001,1,segunda_liga,54,60,0,0,0,0,,2001
Espinho,Chaves,1-1,https://www.besoccer.com/match/espinho/chaves/20019785,2001,1,segunda_liga,50,53,0,0,0,0,,2001
Naval,FC Maia,3-3,https://www.besoccer.com/match/naval/fc-maia/20019786,2001,1,segunda_liga,48,46,0,0,0,0,,2001
Académica,FC Felgueiras,2-1,https://www.besoccer.com/match/academica/fc-felgueiras/20019787,2001,1,segunda_liga,56,55,0,0,0,0,,2001
Vitória Setúbal,Imortal DC,3-2,https://www.besoccer.com/match/vitoria-setubal/imortal/20019788,2001,1,segunda_liga,60,49,0,0,0,0,,2001
Varzim,Leça FC,2-0,https://www.besoccer.com/match/varzim/leca/20019789,2001,1,segunda_liga,54,51,0,0,0,0,,2001
SC Freamunde,Ovarense,1-2,https://www.besoccer.com/match/sc-freamunde/ovarense/20019790,2001,1,segunda_liga,50,52,0,0,0,0,,2001
CD Santa Clara,Penafiel,2-1,https://www.besoccer.com/match/santa-clara/penafiel/20019781,2001,2,segunda_liga,52,54,0,0,0,0,,2001
Leça FC,SC Freamunde,3-1,https://www.besoccer.com/match/leca/sc-freamunde/20019773,2001,2,segunda_liga,51,50,0,0,0,0,,2001
FC Felgueiras,Uniao Lamas,2-1,https://www.besoccer.com/match/fc-felgueiras/uniao-lamas/20019774,2001,2,segunda_liga,55,45,0,0,0,0,,2001
Nacional,FC Marco,3-2,https://www.besoccer.com/match/nacional/fc-marco/20019775,2001,2,segunda_liga,58,52,0,0,0,0,,2001
Rio Ave,Espinho,0-0,https://www.besoccer.com/match/rio-ave/espinho/20019776,2001,2,segunda_liga,60,50,0,0,0,0,,2001
Chaves,Naval,1-1,https://www.besoccer.com/match/chaves/naval/20019777,2001,2,segunda_liga,53,48,0,0,0,0,,2001
FC Maia,Vitória Setúbal,1-1,https://www.besoccer.com/match/fc-maia/vitoria-setubal/20019778,2001,2,segunda_liga,47,60,0,0,0,0,,2001
Ovarense,Académica,3-1,https://www.besoccer.com/match/ovarense/academica/20019779,2001,2,segunda_liga,53,56,0,0,0,0,,2001
Imortal DC,Varzim,1-1,https://www.besoccer.com/match/imortal/varzim/20019780,2001,2,segunda_liga,48,54,0,0,0,0,,2001
Uniao Lamas,Ovarense,2-1,https://www.besoccer.com/match/uniao-lamas/ovarense/20019772,2001,3,segunda_liga,45,53,0,0,0,0,,2001
Académica,Leça FC,2-1,https://www.besoccer.com/match/academica/leca/20019764,2001,3,segunda_liga,56,51,0,0,0,0,,2001
Vitória Setúbal,Varzim,0-1,https://www.besoccer.com/match/vitoria-setubal/varzim/20019765,2001,3,segunda_liga,60,54,0,0,0,0,,2001
SC Freamunde,Imortal DC,2-0,https://www.besoccer.com/match/sc-freamunde/imortal/20019766,2001,3,segunda_liga,49,48,0,0,0,0,,2001
