Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Olhanense,Benfica II,1-1,https://www.besoccer.com/match/sc-olhanense/benfica-ii/201623946,2016,1,segunda_liga,54,56,3,0,2,0,,2016
Gil Vicente,Mafra,1-1,https://www.besoccer.com/match/gil-vicente/mafra/201623942,2016,1,segunda_liga,57,50,0,1,3,1,,2016
Desportivo Aves,SC Covilha ,0-1,https://www.besoccer.com/match/desportivo-aves/sporting-covilha/201623940,2016,1,segunda_liga,57,52,3,0,1,0,,2016
Vitória Guimarães B,CD Santa Clara,0-1,https://www.besoccer.com/match/vitoria-guimar/santa-clara/201623943,2016,1,segunda_liga,51,52,4,0,2,0,,2016
UD Oliveirense,Oriental Lisboa,0-3,https://www.besoccer.com/match/ud-oliveirense/oriental-lisboa/201623944,2016,1,segunda_liga,51,47,1,0,2,0,,2016
Chaves,Sporting Braga II,2-2,https://www.besoccer.com/match/chaves/sporting-braga-ii/201623947,2016,1,segunda_liga,55,50,1,0,0,0,,2016
Academico Viseu,Farense,1-0,https://www.besoccer.com/match/academico-viseu/farense/201623949,2016,1,segunda_liga,44,44,2,0,0,0,,2016
Sporting CP II,Feirense,0-0,https://www.besoccer.com/match/sporting-cp-ii/feirense/201623950,2016,1,segunda_liga,56,54,3,1,3,1,,2016
Penafiel,Leixões,0-0,https://www.besoccer.com/match/penafiel/leixoes/201623951,2016,1,segunda_liga,56,55,2,0,2,0,,2016
Atlético CP,SC Freamunde,1-0,https://www.besoccer.com/match/atletico-cp/sc-freamunde/201623939,2016,1,segunda_liga,51,52,2,0,5,0,,2016
Varzim,Famalicão,1-2,https://www.besoccer.com/match/varzim/famalicao/201623948,2016,1,segunda_liga,54,51,2,0,4,0,,2016
Porto II,Portimonense,1-2,https://www.besoccer.com/match/porto-ii/portimonense/201623945,2016,1,segunda_liga,54,54,1,0,1,0,,2016
Mafra,Sporting CP II,2-0,https://www.besoccer.com/match/mafra/sporting-cp-ii/201623958,2016,2,segunda_liga,50,56,3,0,2,0,,2016
Benfica II,Penafiel,1-0,https://www.besoccer.com/match/benfica-ii/penafiel/201623953,2016,2,segunda_liga,56,56,2,0,3,0,,2016
Sporting Braga II,Gil Vicente,1-0,https://www.besoccer.com/match/sporting-braga-ii/gil-vicente/201623954,2016,2,segunda_liga,50,57,5,0,3,0,,2016
Famalicão,Olhanense,1-0,https://www.besoccer.com/match/famalicao/sc-olhanense/201623955,2016,2,segunda_liga,51,54,4,0,4,0,,2016
Farense,UD Oliveirense,2-0,https://www.besoccer.com/match/farense/ud-oliveirense/201623956,2016,2,segunda_liga,44,50,1,0,3,0,,2016
SC Freamunde,Varzim,1-1,https://www.besoccer.com/match/sc-freamunde/varzim/201623957,2016,2,segunda_liga,51,54,3,0,4,0,,2016
Portimonense,Academico Viseu,1-2,https://www.besoccer.com/match/portimonense/academico-viseu/201623959,2016,2,segunda_liga,54,44,3,0,5,0,,2016
Leixões,Atlético CP,0-1,https://www.besoccer.com/match/leixoes/atletico-cp/201623960,2016,2,segunda_liga,55,51,1,0,2,0,,2016
Feirense,Desportivo Aves,2-2,https://www.besoccer.com/match/feirense/desportivo-aves/201623961,2016,2,segunda_liga,54,56,5,0,4,0,,2016
Oriental Lisboa,Vitória Guimarães B,4-4,https://www.besoccer.com/match/oriental-lisboa/vitoria-guimar/201623963,2016,2,segunda_liga,48,51,2,1,1,1,,2016
CD Santa Clara,Porto II,1-2,https://www.besoccer.com/match/santa-clara/porto-ii/201623952,2016,2,segunda_liga,52,54,6,0,4,0,,2016
SC Covilha ,Chaves,0-1,https://www.besoccer.com/match/sporting-covilha/chaves/201623962,2016,2,segunda_liga,53,55,3,0,2,0,,2016
