Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Olhanense,Estoril,3-2,https://www.besoccer.com/match/sc-olhanense/estoril/200937105,2009,1,segunda_liga,49,51,3,0,2,0,,2009
SC Freamunde,União de Leiria,1-0,https://www.besoccer.com/match/sc-freamunde/uniao-leiria/200937106,2009,1,segunda_liga,46,60,3,0,2,0,,2009
Beira Mar SC,CD Santa Clara,0-0,https://www.besoccer.com/match/beira-mar/santa-clara/200937107,2009,1,segunda_liga,56,61,3,0,1,0,,2009
UD Oliveirense,Gil Vicente,1-1,https://www.besoccer.com/match/ud-oliveirense/gil-vicente/200937108,2009,1,segunda_liga,47,59,1,0,4,0,,2009
Desportivo Aves,SC Covilha ,2-0,https://www.besoccer.com/match/desportivo-aves/sporting-covilha/200937109,2009,1,segunda_liga,49,45,3,0,1,0,,2009
Boavista,Vizela,2-1,https://www.besoccer.com/match/boavista/vizela/200937110,2009,1,segunda_liga,64,49,4,0,3,0,,2009
Feirense,Gondomar,2-0,https://www.besoccer.com/match/feirense/gondomar/200937111,2009,1,segunda_liga,47,49,2,0,3,0,,2009
Portimonense,Varzim,2-1,https://www.besoccer.com/match/portimonense/varzim/200937112,2009,1,segunda_liga,48,51,3,0,1,0,,2009
União de Leiria,Portimonense,0-1,https://www.besoccer.com/match/uniao-leiria/portimonense/200937113,2009,2,segunda_liga,60,48,3,0,3,0,,2009
Varzim,Boavista,2-0,https://www.besoccer.com/match/varzim/boavista/200937114,2009,2,segunda_liga,51,64,2,0,4,0,,2009
Gil Vicente,Feirense,2-1,https://www.besoccer.com/match/gil-vicente/feirense/200937115,2009,2,segunda_liga,59,47,1,0,1,0,,2009
Estoril,UD Oliveirense,0-0,https://www.besoccer.com/match/estoril/ud-oliveirense/200937116,2009,2,segunda_liga,51,47,0,0,1,0,,2009
CD Santa Clara,SC Freamunde,1-0,https://www.besoccer.com/match/santa-clara/sc-freamunde/200937117,2009,2,segunda_liga,61,46,3,0,3,0,,2009
Gondomar,Beira Mar SC,0-0,https://www.besoccer.com/match/gondomar/beira-mar/200937118,2009,2,segunda_liga,48,56,3,1,2,1,,2009
SC Covilha ,Olhanense,4-3,https://www.besoccer.com/match/sporting-covilha/sc-olhanense/200937119,2009,2,segunda_liga,45,49,2,1,4,1,,2009
Vizela,Desportivo Aves,0-2,https://www.besoccer.com/match/vizela/desportivo-aves/200937120,2009,2,segunda_liga,49,50,1,0,5,0,,2009
SC Freamunde,Gondomar,2-0,https://www.besoccer.com/match/sc-freamunde/gondomar/200937121,2009,3,segunda_liga,46,48,1,0,3,0,,2009
Olhanense,Vizela,1-0,https://www.besoccer.com/match/sc-olhanense/vizela/200937122,2009,3,segunda_liga,49,48,4,0,5,0,,2009
União de Leiria,CD Santa Clara,1-1,https://www.besoccer.com/match/uniao-leiria/santa-clara/200937123,2009,3,segunda_liga,60,61,3,0,3,0,,2009
Beira Mar SC,Gil Vicente,0-0,https://www.besoccer.com/match/beira-mar/gil-vicente/200937124,2009,3,segunda_liga,56,59,2,0,3,0,,2009
Feirense,Estoril,1-0,https://www.besoccer.com/match/feirense/estoril/200937125,2009,3,segunda_liga,47,50,1,0,3,0,,2009
Desportivo Aves,Varzim,0-0,https://www.besoccer.com/match/desportivo-aves/varzim/200937126,2009,3,segunda_liga,50,51,5,0,3,0,,2009
Portimonense,Boavista,0-1,https://www.besoccer.com/match/portimonense/boavista/200937127,2009,3,segunda_liga,48,63,1,0,3,0,,2009
UD Oliveirense,SC Covilha ,1-2,https://www.besoccer.com/match/ud-oliveirense/sporting-covilha/200937128,2009,3,segunda_liga,47,46,3,0,4,0,,2009
CD Santa Clara,Portimonense,3-0,https://www.besoccer.com/match/santa-clara/portimonense/200937129,2009,4,segunda_liga,61,48,3,0,5,0,,2009
Gondomar,União de Leiria,0-1,https://www.besoccer.com/match/gondomar/uniao-leiria/200937130,2009,4,segunda_liga,48,60,2,0,2,0,,2009
Gil Vicente,SC Freamunde,0-0,https://www.besoccer.com/match/gil-vicente/sc-freamunde/200937131,2009,4,segunda_liga,59,46,1,0,4,0,,2009
Estoril,Beira Mar SC,2-0,https://www.besoccer.com/match/estoril/beira-mar/200937132,2009,4,segunda_liga,50,56,2,0,1,0,,2009
SC Covilha ,Feirense,0-0,https://www.besoccer.com/match/sporting-covilha/feirense/200937133,2009,4,segunda_liga,45,48,2,0,3,0,,2009
Vizela,UD Oliveirense,2-1,https://www.besoccer.com/match/vizela/ud-oliveirense/200937134,2009,4,segunda_liga,48,47,2,0,3,0,,2009
Varzim,Olhanense,2-1,https://www.besoccer.com/match/varzim/sc-olhanense/200937135,2009,4,segunda_liga,51,49,2,0,6,0,,2009
Boavista,Desportivo Aves,1-1,https://www.besoccer.com/match/boavista/desportivo-aves/200937136,2009,4,segunda_liga,64,50,3,0,3,0,,2009
Beira Mar SC,SC Covilha ,0-1,https://www.besoccer.com/match/beira-mar/sporting-covilha/200937137,2009,5,segunda_liga,56,45,2,0,2,0,,2009
SC Freamunde,Estoril,0-1,https://www.besoccer.com/match/sc-freamunde/estoril/200937138,2009,5,segunda_liga,47,51,2,0,3,0,,2009
UD Oliveirense,Varzim,2-1,https://www.besoccer.com/match/ud-oliveirense/varzim/200937139,2009,5,segunda_liga,47,52,6,0,4,0,,2009
Olhanense,Boavista,1-1,https://www.besoccer.com/match/sc-olhanense/boavista/200937140,2009,5,segunda_liga,49,63,1,0,3,0,,2009
União de Leiria,Gil Vicente,1-1,https://www.besoccer.com/match/uniao-leiria/gil-vicente/200937141,2009,5,segunda_liga,60,59,2,0,4,0,,2009
Feirense,Vizela,0-0,https://www.besoccer.com/match/feirense/vizela/200937142,2009,5,segunda_liga,48,48,0,0,1,0,,2009
Portimonense,Desportivo Aves,5-2,https://www.besoccer.com/match/portimonense/desportivo-aves/200937143,2009,5,segunda_liga,48,50,5,0,0,0,,2009
CD Santa Clara,Gondomar,2-1,https://www.besoccer.com/match/santa-clara/gondomar/200937144,2009,5,segunda_liga,61,48,4,0,2,0,,2009
Gondomar,Portimonense,0-0,https://www.besoccer.com/match/gondomar/portimonense/200937145,2009,6,segunda_liga,48,48,3,0,3,0,,2009
Gil Vicente,CD Santa Clara,3-2,https://www.besoccer.com/match/gil-vicente/santa-clara/200937146,2009,6,segunda_liga,59,61,4,0,2,0,,2009
Desportivo Aves,Olhanense,1-2,https://www.besoccer.com/match/desportivo-aves/sc-olhanense/200937147,2009,6,segunda_liga,50,49,5,0,6,0,,2009
Vizela,Beira Mar SC,0-3,https://www.besoccer.com/match/vizela/beira-mar/200937148,2009,6,segunda_liga,48,56,0,0,4,0,,2009
Boavista,UD Oliveirense,1-0,https://www.besoccer.com/match/boavista/ud-oliveirense/200937149,2009,6,segunda_liga,63,47,4,0,2,0,,2009
Estoril,União de Leiria,2-2,https://www.besoccer.com/match/estoril/uniao-leiria/200937150,2009,6,segunda_liga,51,60,0,0,2,0,,2009
SC Covilha ,SC Freamunde,1-1,https://www.besoccer.com/match/sporting-covilha/sc-freamunde/200937151,2009,6,segunda_liga,46,46,1,0,6,0,,2009
Varzim,Feirense,2-1,https://www.besoccer.com/match/varzim/feirense/200937152,2009,6,segunda_liga,51,48,3,0,3,0,,2009
Portimonense,Olhanense,2-3,https://www.besoccer.com/match/portimonense/sc-olhanense/200937153,2009,7,segunda_liga,48,49,4,0,3,0,,2009
Feirense,Boavista,2-0,https://www.besoccer.com/match/feirense/boavista/200937154,2009,7,segunda_liga,47,64,2,0,1,0,,2009
Gondomar,Gil Vicente,3-0,https://www.besoccer.com/match/gondomar/gil-vicente/200937155,2009,7,segunda_liga,48,59,5,0,3,0,,2009
SC Freamunde,Vizela,1-1,https://www.besoccer.com/match/sc-freamunde/vizela/200937156,2009,7,segunda_liga,46,48,3,0,4,0,,2009
UD Oliveirense,Desportivo Aves,0-0,https://www.besoccer.com/match/ud-oliveirense/desportivo-aves/200937157,2009,7,segunda_liga,47,49,4,0,4,0,,2009
União de Leiria,SC Covilha ,1-1,https://www.besoccer.com/match/uniao-leiria/sporting-covilha/200937158,2009,7,segunda_liga,60,46,2,0,1,0,,2009
Beira Mar SC,Varzim,1-1,https://www.besoccer.com/match/beira-mar/varzim/200937159,2009,7,segunda_liga,56,52,2,0,4,0,,2009
CD Santa Clara,Estoril,1-1,https://www.besoccer.com/match/santa-clara/estoril/200937160,2009,7,segunda_liga,61,51,2,0,2,0,,2009
SC Covilha ,CD Santa Clara,2-4,https://www.besoccer.com/match/sporting-covilha/santa-clara/200937161,2009,8,segunda_liga,46,61,1,1,4,1,,2009
Vizela,União de Leiria,3-2,https://www.besoccer.com/match/vizela/uniao-leiria/200937162,2009,8,segunda_liga,49,60,2,0,2,0,,2009
Boavista,Beira Mar SC,1-2,https://www.besoccer.com/match/boavista/beira-mar/200937163,2009,8,segunda_liga,63,56,0,0,2,0,,2009
Desportivo Aves,Feirense,1-0,https://www.besoccer.com/match/desportivo-aves/feirense/200937164,2009,8,segunda_liga,50,48,2,0,2,0,,2009
Olhanense,UD Oliveirense,3-0,https://www.besoccer.com/match/sc-olhanense/ud-oliveirense/200937165,2009,8,segunda_liga,49,47,0,0,3,0,,2009
Estoril,Gondomar,0-0,https://www.besoccer.com/match/estoril/gondomar/200937166,2009,8,segunda_liga,51,48,3,0,2,0,,2009
Gil Vicente,Portimonense,0-0,https://www.besoccer.com/match/gil-vicente/portimonense/200937167,2009,8,segunda_liga,58,49,0,0,4,0,,2009
Varzim,SC Freamunde,2-1,https://www.besoccer.com/match/varzim/sc-freamunde/200937168,2009,8,segunda_liga,51,46,4,0,3,0,,2009
SC Freamunde,Boavista,2-0,https://www.besoccer.com/match/sc-freamunde/boavista/200937169,2009,9,segunda_liga,46,63,4,0,4,0,,2009
Gondomar,SC Covilha ,1-1,https://www.besoccer.com/match/gondomar/sporting-covilha/200937170,2009,9,segunda_liga,48,46,6,0,2,0,,2009
Beira Mar SC,Desportivo Aves,4-0,https://www.besoccer.com/match/beira-mar/desportivo-aves/200937171,2009,9,segunda_liga,56,50,2,0,2,0,,2009
Feirense,Olhanense,3-1,https://www.besoccer.com/match/feirense/sc-olhanense/200937172,2009,9,segunda_liga,48,50,4,0,3,0,,2009
Gil Vicente,Estoril,2-2,https://www.besoccer.com/match/gil-vicente/estoril/200937173,2009,9,segunda_liga,58,51,2,0,5,0,,2009
União de Leiria,Varzim,1-0,https://www.besoccer.com/match/uniao-leiria/varzim/200937174,2009,9,segunda_liga,60,51,3,0,5,0,,2009
Portimonense,UD Oliveirense,1-0,https://www.besoccer.com/match/portimonense/ud-oliveirense/200937175,2009,9,segunda_liga,49,47,1,0,2,0,,2009
CD Santa Clara,Vizela,5-1,https://www.besoccer.com/match/santa-clara/vizela/200937176,2009,9,segunda_liga,61,49,1,0,2,0,,2009
Estoril,Portimonense,0-0,https://www.besoccer.com/match/estoril/portimonense/200937177,2009,10,segunda_liga,51,49,0,0,0,0,,2009
Vizela,Gondomar,1-0,https://www.besoccer.com/match/vizela/gondomar/200937178,2009,10,segunda_liga,49,48,4,0,4,0,,2009
Boavista,União de Leiria,2-0,https://www.besoccer.com/match/boavista/uniao-leiria/200937179,2009,10,segunda_liga,63,60,2,0,3,0,,2009
Desportivo Aves,SC Freamunde,0-1,https://www.besoccer.com/match/desportivo-aves/sc-freamunde/200937180,2009,10,segunda_liga,49,47,4,0,5,0,,2009
Olhanense,Beira Mar SC,2-0,https://www.besoccer.com/match/sc-olhanense/beira-mar/200937181,2009,10,segunda_liga,49,56,5,0,2,0,,2009
UD Oliveirense,Feirense,2-1,https://www.besoccer.com/match/ud-oliveirense/feirense/200937182,2009,10,segunda_liga,47,48,4,0,5,0,,2009
SC Covilha ,Gil Vicente,1-2,https://www.besoccer.com/match/sporting-covilha/gil-vicente/200937183,2009,10,segunda_liga,46,58,4,0,3,0,,2009
Varzim,CD Santa Clara,2-1,https://www.besoccer.com/match/varzim/santa-clara/200937184,2009,10,segunda_liga,51,61,2,0,4,0,,2009
CD Santa Clara,Boavista,3-1,https://www.besoccer.com/match/santa-clara/boavista/200937185,2009,11,segunda_liga,61,63,0,0,0,0,,2009
