Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Olhanense,Académica,1-2,https://www.besoccer.com/match/sc-olhanense/academica/2017100739,2017,1,segunda_liga,53,59,2,0,0,0,,2017
Academico Viseu,Vizela,0-1,https://www.besoccer.com/match/academico-viseu/vizela/2017100738,2017,1,segunda_liga,44,50,2,0,2,0,,2017
Sporting CP II,Portimonense,1-2,https://www.besoccer.com/match/sporting-cp-ii/portimonense/2017100742,2017,1,segunda_liga,54,56,0,0,3,0,,2017
CD Santa Clara,Vitória Guimarães B,2-1,https://www.besoccer.com/match/santa-clara/vitoria-guimar/2017100732,2017,1,segunda_liga,50,49,7,0,3,0,,2017
Sporting Braga II,Fafe,1-1,https://www.besoccer.com/match/sporting-braga-ii/fafe/2017100735,2017,1,segunda_liga,49,51,1,0,3,0,,2017
SC Freamunde,União Madeira,0-1,https://www.besoccer.com/match/sc-freamunde/uniao-madeira/2017100736,2017,1,segunda_liga,51,56,1,0,2,0,,2017
Penafiel,SC Covilha ,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/2017100740,2017,1,segunda_liga,55,51,0,0,2,0,,2017
Leixões,Famalicão,0-0,https://www.besoccer.com/match/leixoes/famalicao/2017100741,2017,1,segunda_liga,52,52,1,0,2,0,,2017
Benfica II,Cova Piedade,1-1,https://www.besoccer.com/match/benfica-ii/cova-piedade/2017100734,2017,1,segunda_liga,53,46,0,0,0,0,,2017
Gil Vicente,Varzim,1-0,https://www.besoccer.com/match/gil-vicente/varzim/2017100737,2017,1,segunda_liga,56,53,3,0,2,0,,2017
Desportivo Aves,Porto II,2-1,https://www.besoccer.com/match/desportivo-aves/porto-ii/2017100733,2017,1,segunda_liga,55,54,2,0,1,0,,2017
Vitória Guimarães B,Desportivo Aves,1-1,https://www.besoccer.com/match/vitoria-guimar/desportivo-aves/2017100748,2017,2,segunda_liga,49,55,2,0,1,0,,2017
Varzim,Benfica II,2-0,https://www.besoccer.com/match/varzim/benfica-ii/2017100749,2017,2,segunda_liga,53,53,2,0,2,0,,2017
União Madeira,Sporting Braga II,1-1,https://www.besoccer.com/match/uniao-madeira/sporting-braga-ii/2017100750,2017,2,segunda_liga,56,49,2,0,2,0,,2017
Vizela,Gil Vicente,2-2,https://www.besoccer.com/match/vizela/gil-vicente/2017100751,2017,2,segunda_liga,51,56,2,1,1,1,,2017
Famalicão,Olhanense,4-2,https://www.besoccer.com/match/famalicao/sc-olhanense/2017100746,2017,2,segunda_liga,52,53,1,0,3,0,,2017
SC Covilha ,Sporting CP II,1-2,https://www.besoccer.com/match/sporting-covilha/sporting-cp-ii/2017100744,2017,2,segunda_liga,51,53,0,0,2,0,,2017
Académica,CD Santa Clara,0-1,https://www.besoccer.com/match/academica/santa-clara/2017100743,2017,2,segunda_liga,59,50,2,0,4,0,,2017
Fafe,SC Freamunde,2-2,https://www.besoccer.com/match/fafe/sc-freamunde/2017100745,2017,2,segunda_liga,51,51,3,0,3,0,,2017
Porto II,Academico Viseu,1-0,https://www.besoccer.com/match/porto-ii/academico-viseu/2017100747,2017,2,segunda_liga,54,44,1,0,3,0,,2017
Cova Piedade,Leixões,1-0,https://www.besoccer.com/match/cova-piedade/leixoes/2017100752,2017,2,segunda_liga,46,52,4,0,2,0,,2017
Portimonense,Penafiel,3-2,https://www.besoccer.com/match/portimonense/penafiel/2017100753,2017,2,segunda_liga,57,56,2,0,3,0,,2017
Benfica II,Gil Vicente,1-1,https://www.besoccer.com/match/benfica-ii/gil-vicente/2017100756,2017,3,segunda_liga,53,56,2,0,0,0,,2017
Portimonense,União Madeira,2-0,https://www.besoccer.com/match/portimonense/uniao-madeira/2017100760,2017,3,segunda_liga,57,56,2,0,2,0,,2017
Olhanense,SC Covilha ,0-0,https://www.besoccer.com/match/sc-olhanense/sporting-covilha/2017100762,2017,3,segunda_liga,52,51,2,0,0,0,,2017
Sporting CP II,Fafe,2-4,https://www.besoccer.com/match/sporting-cp-ii/fafe/2017100763,2017,3,segunda_liga,54,51,1,0,1,0,,2017
