Home_Team,Away_Team,Result,Link,Season,Round,League
Fuenlabrada,Málaga,1-0,https://www.besoccer.com/match/fuenlabrada/malaga/202221539,2022,32,segunda_division
Lugo,Real Oviedo,1-1,https://www.besoccer.com/match/lugo/real-oviedo/202221550,2022,32,segunda_division
Real Valladolid,Las Palmas,0-1,https://www.besoccer.com/match/valladolid/ud-palmas/202221563,2022,32,segunda_division
Girona,UD Ibiza,5-1,https://www.besoccer.com/match/girona-fc/ibiza-eivissa/202221543,2022,32,segunda_division
SD Amorebieta,Alcorcón,0-0,https://www.besoccer.com/match/amorebieta/ad-alcorcon/202221530,2022,32,segunda_division
Ponferradina,Eibar,2-2,https://www.besoccer.com/match/ponferradina-sd/eibar/202221553,2022,32,segunda_division
Leganés,Real Sporting,1-1,https://www.besoccer.com/match/leganes/sporting-gijon/202221548,2022,32,segunda_division
Tenerife,Almería,0-1,https://www.besoccer.com/match/tenerife/almeria/202221560,2022,32,segunda_division
Real Zaragoza,SD Amorebieta,1-1,https://www.besoccer.com/match/real-zaragoza/amorebieta/202221525,2022,33,segunda_division
UD Ibiza,R. Sociedad B,2-2,https://www.besoccer.com/match/ibiza-eivissa/real-sociedad-b/202221516,2022,33,segunda_division
Eibar,Lugo,1-0,https://www.besoccer.com/match/eibar/lugo/202221515,2022,33,segunda_division
Real Sporting,FC Cartagena,4-1,https://www.besoccer.com/match/sporting-gijon/cartagena/202221521,2022,33,segunda_division
Real Oviedo,Fuenlabrada,3-0,https://www.besoccer.com/match/real-oviedo/fuenlabrada/202221520,2022,33,segunda_division
Mirandés,Ponferradina,3-1,https://www.besoccer.com/match/mirandes/ponferradina-sd/202221519,2022,33,segunda_division
Burgos,Tenerife,1-0,https://www.besoccer.com/match/burgos-cf/tenerife/202221514,2022,33,segunda_division
Alcorcón,Real Valladolid,1-2,https://www.besoccer.com/match/ad-alcorcon/valladolid/202221512,2022,33,segunda_division
Málaga,Huesca,0-2,https://www.besoccer.com/match/malaga/huesca/202221518,2022,33,segunda_division
Almería,Girona,0-1,https://www.besoccer.com/match/almeria/girona-fc/202221513,2022,33,segunda_division
Las Palmas,Leganés,4-2,https://www.besoccer.com/match/ud-palmas/leganes/202221517,2022,33,segunda_division
Girona,Málaga,1-0,https://www.besoccer.com/match/girona-fc/malaga/202221486,2022,34,segunda_division
R. Sociedad B,Alcorcón,2-4,https://www.besoccer.com/match/real-sociedad-b/ad-alcorcon/202221501,2022,34,segunda_division
Real Valladolid,Lugo,4-1,https://www.besoccer.com/match/valladolid/lugo/202221510,2022,34,segunda_division
SD Amorebieta,UD Ibiza,3-1,https://www.besoccer.com/match/amorebieta/ibiza-eivissa/202221478,2022,34,segunda_division
Tenerife,Real Zaragoza,1-1,https://www.besoccer.com/match/tenerife/real-zaragoza/202221505,2022,34,segunda_division
FC Cartagena,Real Oviedo,1-2,https://www.besoccer.com/match/cartagena/real-oviedo/202221484,2022,34,segunda_division
Burgos,Real Sporting,0-0,https://www.besoccer.com/match/burgos-cf/sporting-gijon/202221481,2022,34,segunda_division
Ponferradina,Las Palmas,1-2,https://www.besoccer.com/match/ponferradina-sd/ud-palmas/202221497,2022,34,segunda_division
Eibar,Mirandés,1-1,https://www.besoccer.com/match/eibar/mirandes/202221488,2022,34,segunda_division
Huesca,Almería,1-1,https://www.besoccer.com/match/huesca/almeria/202221490,2022,34,segunda_division
Leganés,Fuenlabrada,3-2,https://www.besoccer.com/match/leganes/fuenlabrada/202221493,2022,34,segunda_division
Lugo,FC Cartagena,1-0,https://www.besoccer.com/match/lugo/cartagena/202221457,2022,35,segunda_division
R. Sociedad B,Tenerife,1-2,https://www.besoccer.com/match/real-sociedad-b/tenerife/202221467,2022,35,segunda_division
Alcorcón,Real Sporting,1-1,https://www.besoccer.com/match/ad-alcorcon/sporting-gijon/202221437,2022,35,segunda_division
Málaga,Real Valladolid,2-2,https://www.besoccer.com/match/malaga/valladolid/202221460,2022,35,segunda_division
Las Palmas,SD Amorebieta,1-0,https://www.besoccer.com/match/ud-palmas/amorebieta/202221453,2022,35,segunda_division
Fuenlabrada,Huesca,2-3,https://www.besoccer.com/match/fuenlabrada/huesca/202221443,2022,35,segunda_division
Real Zaragoza,Girona,1-0,https://www.besoccer.com/match/real-zaragoza/girona-fc/202221471,2022,35,segunda_division
UD Ibiza,Eibar,2-0,https://www.besoccer.com/match/ibiza-eivissa/eibar/202221447,2022,35,segunda_division
Mirandés,Burgos,3-1,https://www.besoccer.com/match/mirandes/burgos-cf/202221462,2022,35,segunda_division
Real Oviedo,Leganés,1-0,https://www.besoccer.com/match/real-oviedo/leganes/202221464,2022,35,segunda_division
Almería,Ponferradina,3-0,https://www.besoccer.com/match/almeria/ponferradina-sd/202221439,2022,35,segunda_division
Eibar,Las Palmas,2-2,https://www.besoccer.com/match/eibar/ud-palmas/202221408,2022,36,segunda_division
SD Amorebieta,Mirandés,1-0,https://www.besoccer.com/match/amorebieta/mirandes/202221395,2022,36,segunda_division
Leganés,Málaga,0-3,https://www.besoccer.com/match/leganes/malaga/202221420,2022,36,segunda_division
Real Valladolid,Almería,2-2,https://www.besoccer.com/match/valladolid/almeria/202221430,2022,36,segunda_division
Real Sporting,Real Oviedo,0-1,https://www.besoccer.com/match/sporting-gijon/real-oviedo/202221427,2022,36,segunda_division
FC Cartagena,Alcorcón,3-1,https://www.besoccer.com/match/cartagena/ad-alcorcon/202221401,2022,36,segunda_division
Ponferradina,Lugo,3-1,https://www.besoccer.com/match/ponferradina-sd/lugo/202221423,2022,36,segunda_division
Burgos,UD Ibiza,2-1,https://www.besoccer.com/match/burgos-cf/ibiza-eivissa/202221398,2022,36,segunda_division
Huesca,Real Zaragoza,1-1,https://www.besoccer.com/match/huesca/real-zaragoza/202221415,2022,36,segunda_division
Tenerife,Fuenlabrada,3-1,https://www.besoccer.com/match/tenerife/fuenlabrada/202221428,2022,36,segunda_division
Girona,R. Sociedad B,2-0,https://www.besoccer.com/match/girona-fc/real-sociedad-b/202221414,2022,36,segunda_division
Tenerife,Huesca,0-0,https://www.besoccer.com/match/tenerife/huesca/202221388,2022,37,segunda_division
R. Sociedad B,SD Amorebieta,2-1,https://www.besoccer.com/match/real-sociedad-b/amorebieta/202221384,2022,37,segunda_division
FC Cartagena,Girona,3-0,https://www.besoccer.com/match/cartagena/girona-fc/202221362,2022,37,segunda_division
Fuenlabrada,Ponferradina,2-3,https://www.besoccer.com/match/fuenlabrada/ponferradina-sd/202221368,2022,37,segunda_division
Málaga,Eibar,1-3,https://www.besoccer.com/match/malaga/eibar/202221377,2022,37,segunda_division
Alcorcón,Real Oviedo,1-2,https://www.besoccer.com/match/ad-alcorcon/real-oviedo/202221355,2022,37,segunda_division
UD Ibiza,Las Palmas,1-1,https://www.besoccer.com/match/ibiza-eivissa/ud-palmas/202221371,2022,37,segunda_division
Mirandés,Real Valladolid,0-1,https://www.besoccer.com/match/mirandes/valladolid/202221381,2022,37,segunda_division
Lugo,Leganés,0-0,https://www.besoccer.com/match/lugo/leganes/202221372,2022,37,segunda_division
Real Zaragoza,Burgos,0-0,https://www.besoccer.com/match/real-zaragoza/burgos-cf/202221391,2022,37,segunda_division
Almería,Real Sporting,1-0,https://www.besoccer.com/match/almeria/sporting-gijon/202221359,2022,37,segunda_division
Las Palmas,Málaga,2-1,https://www.besoccer.com/match/ud-palmas/malaga/202221327,2022,38,segunda_division
Real Oviedo,Mirandés,3-0,https://www.besoccer.com/match/real-oviedo/mirandes/202221342,2022,38,segunda_division
Eibar,Real Zaragoza,2-0,https://www.besoccer.com/match/eibar/real-zaragoza/202221310,2022,38,segunda_division
Burgos,Almería,0-2,https://www.besoccer.com/match/burgos-cf/almeria/202221307,2022,38,segunda_division
SD Amorebieta,Fuenlabrada,2-1,https://www.besoccer.com/match/amorebieta/fuenlabrada/202221303,2022,38,segunda_division
Alcorcón,Girona,0-1,https://www.besoccer.com/match/ad-alcorcon/girona-fc/202221299,2022,38,segunda_division
Real Sporting,UD Ibiza,0-1,https://www.besoccer.com/match/sporting-gijon/ibiza-eivissa/202221347,2022,38,segunda_division
Lugo,Tenerife,0-2,https://www.besoccer.com/match/lugo/tenerife/202221338,2022,38,segunda_division
Ponferradina,FC Cartagena,4-2,https://www.besoccer.com/match/ponferradina-sd/cartagena/202221344,2022,38,segunda_division
Leganés,Huesca,2-1,https://www.besoccer.com/match/leganes/huesca/202221320,2022,38,segunda_division
Real Valladolid,R. Sociedad B,1-2,https://www.besoccer.com/match/valladolid/real-sociedad-b/202221351,2022,38,segunda_division
Las Palmas,Mirandés,1-0,https://www.besoccer.com/match/ud-palmas/mirandes/202221283,2022,39,segunda_division
Fuenlabrada,R. Sociedad B,1-2,https://www.besoccer.com/match/fuenlabrada/real-sociedad-b/202221264,2022,39,segunda_division
Huesca,Real Sporting,1-1,https://www.besoccer.com/match/huesca/sporting-gijon/202221274,2022,39,segunda_division
Almería,SD Amorebieta,3-0,https://www.besoccer.com/match/almeria/amorebieta/202221256,2022,39,segunda_division
Málaga,Real Oviedo,0-0,https://www.besoccer.com/match/malaga/real-oviedo/202221286,2022,39,segunda_division
Ponferradina,Burgos,3-1,https://www.besoccer.com/match/ponferradina-sd/burgos-cf/202221288,2022,39,segunda_division
FC Cartagena,Leganés,0-0,https://www.besoccer.com/match/cartagena/leganes/202221259,2022,39,segunda_division
Eibar,Real Valladolid,0-2,https://www.besoccer.com/match/eibar/valladolid/202221261,2022,39,segunda_division
UD Ibiza,Lugo,1-1,https://www.besoccer.com/match/ibiza-eivissa/lugo/202221279,2022,39,segunda_division
Real Zaragoza,Alcorcón,0-3,https://www.besoccer.com/match/real-zaragoza/ad-alcorcon/202221292,2022,39,segunda_division
Girona,Tenerife,0-1,https://www.besoccer.com/match/girona-fc/tenerife/202221269,2022,39,segunda_division
R. Sociedad B,Almería,3-1,https://www.besoccer.com/match/real-sociedad-b/almeria/202221238,2022,40,segunda_division
SD Amorebieta,Huesca,1-1,https://www.besoccer.com/match/amorebieta/huesca/202221214,2022,40,segunda_division
Burgos,FC Cartagena,1-0,https://www.besoccer.com/match/burgos-cf/cartagena/202221216,2022,40,segunda_division
Lugo,Fuenlabrada,1-1,https://www.besoccer.com/match/lugo/fuenlabrada/202221226,2022,40,segunda_division
Real Valladolid,Ponferradina,2-2,https://www.besoccer.com/match/valladolid/ponferradina-sd/202221250,2022,40,segunda_division
Leganés,Eibar,1-1,https://www.besoccer.com/match/leganes/eibar/202221218,2022,40,segunda_division
Alcorcón,Las Palmas,3-0,https://www.besoccer.com/match/ad-alcorcon/ud-palmas/202221212,2022,40,segunda_division
Mirandés,UD Ibiza,0-2,https://www.besoccer.com/match/mirandes/ibiza-eivissa/202221230,2022,40,segunda_division
Real Sporting,Girona,1-2,https://www.besoccer.com/match/sporting-gijon/girona-fc/202221240,2022,40,segunda_division
Tenerife,Málaga,1-0,https://www.besoccer.com/match/tenerife/malaga/202221245,2022,40,segunda_division
Real Oviedo,Real Zaragoza,0-0,https://www.besoccer.com/match/real-oviedo/real-zaragoza/202221236,2022,40,segunda_division
Almería,Alcorcón,0-4,https://www.besoccer.com/match/almeria/ad-alcorcon/202221168,2022,41,segunda_division
FC Cartagena,SD Amorebieta,2-3,https://www.besoccer.com/match/cartagena/amorebieta/202221169,2022,41,segunda_division
Eibar,Tenerife,1-2,https://www.besoccer.com/match/eibar/tenerife/202221172,2022,41,segunda_division
Fuenlabrada,Real Sporting,1-1,https://www.besoccer.com/match/fuenlabrada/sporting-gijon/202221174,2022,41,segunda_division
Girona,Mirandés,1-2,https://www.besoccer.com/match/girona-fc/mirandes/202221178,2022,41,segunda_division
Huesca,R. Sociedad B,0-2,https://www.besoccer.com/match/huesca/real-sociedad-b/202221182,2022,41,segunda_division
UD Ibiza,Real Valladolid,1-1,https://www.besoccer.com/match/ibiza-eivissa/valladolid/202221186,2022,41,segunda_division
Las Palmas,Real Oviedo,1-1,https://www.besoccer.com/match/ud-palmas/real-oviedo/202221193,2022,41,segunda_division
Málaga,Burgos,3-0,https://www.besoccer.com/match/malaga/burgos-cf/202221195,2022,41,segunda_division
Ponferradina,Leganés,1-1,https://www.besoccer.com/match/ponferradina-sd/leganes/202221204,2022,41,segunda_division
Real Zaragoza,Lugo,1-1,https://www.besoccer.com/match/real-zaragoza/lugo/202221209,2022,41,segunda_division
Alcorcón,Eibar,2-1,https://www.besoccer.com/match/ad-alcorcon/eibar/202221139,2022,42,segunda_division
SD Amorebieta,Ponferradina,1-1,https://www.besoccer.com/match/amorebieta/ponferradina-sd/202221146,2022,42,segunda_division
Burgos,Girona,3-1,https://www.besoccer.com/match/burgos-cf/girona-fc/202221149,2022,42,segunda_division
Leganés,Almería,1-0,https://www.besoccer.com/match/leganes/almeria/202221151,2022,42,segunda_division
Lugo,Málaga,1-0,https://www.besoccer.com/match/lugo/malaga/202221153,2022,42,segunda_division
Mirandés,Fuenlabrada,1-1,https://www.besoccer.com/match/mirandes/fuenlabrada/202221154,2022,42,segunda_division
Real Oviedo,UD Ibiza,1-1,https://www.besoccer.com/match/real-oviedo/ibiza-eivissa/202221157,2022,42,segunda_division
R. Sociedad B,Real Zaragoza,1-1,https://www.besoccer.com/match/real-sociedad-b/real-zaragoza/202221160,2022,42,segunda_division
Real Sporting,Las Palmas,1-0,https://www.besoccer.com/match/sporting-gijon/ud-palmas/202221162,2022,42,segunda_division
Tenerife,FC Cartagena,1-1,https://www.besoccer.com/match/tenerife/cartagena/202221164,2022,42,segunda_division
Real Valladolid,Huesca,3-2,https://www.besoccer.com/match/valladolid/huesca/202221166,2022,42,segunda_division
