Home_Team,Away_Team,Result,Link,Season,Round,League
Luton Town,Huddersfield Town,2-0,https://www.besoccer.com/match/luton-town-fc/huddersfield-town-fc/2022479385,2022,1,championship
Huddersfield Town,Luton Town,2-0,https://www.besoccer.com/match/huddersfield-town-fc/luton-town-fc/2022479387,2022,1,championship
Sheffield United,Nottingham Forest,1-1,https://www.besoccer.com/match/sheffield-united/nottingham-forest-fc/2022479386,2022,1,championship
Nottingham Forest,Sheffield United,1-1,https://www.besoccer.com/match/nottingham-forest-fc/sheffield-united/2022479388,2022,1,championship
