Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
De Graafschap,Excelsior,2-0,https://www.besoccer.com/match/graafschap/excelsior/20136168,2013,1,eerste_divisie,58,55,2,0,0,0,,2013
Almere City,Go Ahead Eagles,0-2,https://www.besoccer.com/match/almere-city/go-ahead-eagles/20136170,2013,1,eerste_divisie,40,57,1,0,0,0,,2013
Emmen,Dordrecht,1-1,https://www.besoccer.com/match/emmen/fc-dordrecht/20136171,2013,1,eerste_divisie,46,54,2,0,1,0,,2013
SC Telstar,Helmond Sport,1-2,https://www.besoccer.com/match/stormvogels-telstar/helmond-sport/20136172,2013,1,eerste_divisie,46,57,1,0,1,0,,2013
FC Eindhoven,MVV Maastricht,2-3,https://www.besoccer.com/match/fc-eindhoven/mvv/2013205172,2013,1,eerste_divisie,51,55,1,0,0,0,,2013
TOP Oss,Den Bosch,2-1,https://www.besoccer.com/match/fc-oss/fc-den-bosch/20136169,2013,1,eerste_divisie,48,58,1,0,3,0,,2013
FC Volendam,Cambuur,1-2,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/20136175,2013,1,eerste_divisie,57,56,2,0,1,0,,2013
Den Bosch,Sparta Rotterdam,1-2,https://www.besoccer.com/match/fc-den-bosch/sparta-rotterdam/20136176,2013,2,eerste_divisie,58,58,0,1,0,1,,2013
Helmond Sport,Almere City,2-1,https://www.besoccer.com/match/helmond-sport/almere-city/20136178,2013,2,eerste_divisie,57,40,0,0,1,0,,2013
MVV Maastricht,TOP Oss,2-0,https://www.besoccer.com/match/mvv/fc-oss/20136179,2013,2,eerste_divisie,55,48,3,0,3,0,,2013
Excelsior,Emmen,2-0,https://www.besoccer.com/match/excelsior/emmen/20136180,2013,2,eerste_divisie,55,46,1,0,2,0,,2013
Cambuur,Fortuna Sittard,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fortuna-sittard/20136181,2013,2,eerste_divisie,57,46,1,0,2,0,,2013
Dordrecht,FC Volendam,1-2,https://www.besoccer.com/match/fc-dordrecht/fc-volendam/20136182,2013,2,eerste_divisie,54,57,2,0,2,0,,2013
Go Ahead Eagles,De Graafschap,2-2,https://www.besoccer.com/match/go-ahead-eagles/graafschap/20136183,2013,2,eerste_divisie,57,58,0,0,2,0,,2013
Fortuna Sittard,Emmen,3-1,https://www.besoccer.com/match/fortuna-sittard/emmen/20136185,2013,3,eerste_divisie,45,46,2,0,3,0,,2013
SC Telstar,Excelsior,1-0,https://www.besoccer.com/match/stormvogels-telstar/excelsior/20136188,2013,3,eerste_divisie,46,55,2,0,2,0,,2013
Almere City,FC Volendam,1-3,https://www.besoccer.com/match/almere-city/fc-volendam/20136189,2013,3,eerste_divisie,39,57,1,0,1,0,,2013
TOP Oss,Go Ahead Eagles,1-4,https://www.besoccer.com/match/fc-oss/go-ahead-eagles/20136190,2013,3,eerste_divisie,48,57,1,0,1,0,,2013
De Graafschap,Helmond Sport,2-5,https://www.besoccer.com/match/graafschap/helmond-sport/20136191,2013,3,eerste_divisie,58,57,2,0,3,0,,2013
FC Eindhoven,Cambuur,2-1,https://www.besoccer.com/match/fc-eindhoven/sc-cambuur-leeuwarden/2013205174,2013,3,eerste_divisie,50,57,0,0,1,0,,2013
Den Bosch,Dordrecht,2-4,https://www.besoccer.com/match/fc-den-bosch/fc-dordrecht/20136193,2013,3,eerste_divisie,58,54,2,0,2,0,,2013
Helmond Sport,Den Bosch,2-0,https://www.besoccer.com/match/helmond-sport/fc-den-bosch/20136194,2013,4,eerste_divisie,57,58,0,0,1,0,,2013
Go Ahead Eagles,Cambuur,1-1,https://www.besoccer.com/match/go-ahead-eagles/sc-cambuur-leeuwarden/20136195,2013,4,eerste_divisie,58,57,0,0,1,0,,2013
MVV Maastricht,SC Telstar,0-0,https://www.besoccer.com/match/mvv/stormvogels-telstar/20136196,2013,4,eerste_divisie,55,46,2,0,0,0,,2013
Almere City,TOP Oss,2-3,https://www.besoccer.com/match/almere-city/fc-oss/20136199,2013,4,eerste_divisie,39,48,3,3,0,3,,2013
Emmen,Sparta Rotterdam,0-0,https://www.besoccer.com/match/emmen/sparta-rotterdam/20136201,2013,4,eerste_divisie,46,58,1,0,2,0,,2013
FC Volendam,FC Eindhoven,4-1,https://www.besoccer.com/match/fc-volendam/fc-eindhoven/2013245630,2013,4,eerste_divisie,57,51,1,0,1,0,,2013
Excelsior,Fortuna Sittard,3-0,https://www.besoccer.com/match/excelsior/fortuna-sittard/20136202,2013,4,eerste_divisie,55,46,1,0,3,0,,2013
De Graafschap,MVV Maastricht,1-1,https://www.besoccer.com/match/graafschap/mvv/20136204,2013,5,eerste_divisie,58,55,1,0,2,0,,2013
TOP Oss,Dordrecht,1-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/20136205,2013,5,eerste_divisie,48,54,1,0,1,0,,2013
Fortuna Sittard,FC Volendam,1-0,https://www.besoccer.com/match/fortuna-sittard/fc-volendam/20136207,2013,5,eerste_divisie,46,57,2,0,2,0,,2013
Den Bosch,Excelsior,3-0,https://www.besoccer.com/match/fc-den-bosch/excelsior/20136208,2013,5,eerste_divisie,58,55,1,0,1,0,,2013
Cambuur,Almere City,5-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/almere-city/20136209,2013,5,eerste_divisie,57,39,0,0,1,0,,2013
FC Eindhoven,Helmond Sport,3-4,https://www.besoccer.com/match/fc-eindhoven/helmond-sport/2013305431,2013,5,eerste_divisie,50,57,2,0,4,0,,2013
Sparta Rotterdam,Go Ahead Eagles,3-0,https://www.besoccer.com/match/sparta-rotterdam/go-ahead-eagles/20136210,2013,5,eerste_divisie,58,58,2,0,2,0,,2013
SC Telstar,Emmen,0-0,https://www.besoccer.com/match/stormvogels-telstar/emmen/20136211,2013,5,eerste_divisie,46,46,0,0,2,0,,2013
Dordrecht,SC Telstar,3-2,https://www.besoccer.com/match/fc-dordrecht/stormvogels-telstar/20136213,2013,6,eerste_divisie,54,46,4,0,1,0,,2013
Cambuur,Sparta Rotterdam,3-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/sparta-rotterdam/20136214,2013,6,eerste_divisie,57,59,1,0,0,0,,2013
Almere City,De Graafschap,1-0,https://www.besoccer.com/match/almere-city/graafschap/20136216,2013,6,eerste_divisie,39,58,2,0,2,0,,2013
FC Volendam,TOP Oss,3-1,https://www.besoccer.com/match/fc-volendam/fc-oss/20136217,2013,6,eerste_divisie,57,48,3,0,2,0,,2013
Emmen,BV Veendam ,2-1,https://www.besoccer.com/match/emmen/veendam/20136218,2013,6,eerste_divisie,46,49,0,0,0,0,,2013
Helmond Sport,Fortuna Sittard,1-1,https://www.besoccer.com/match/helmond-sport/fortuna-sittard/20136219,2013,6,eerste_divisie,57,46,1,0,2,0,,2013
Go Ahead Eagles,Den Bosch,3-0,https://www.besoccer.com/match/go-ahead-eagles/fc-den-bosch/20136220,2013,6,eerste_divisie,57,58,1,0,1,0,,2013
Excelsior,FC Eindhoven,1-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2013343663,2013,6,eerste_divisie,55,50,1,0,3,0,,2013
Den Bosch,Emmen,0-3,https://www.besoccer.com/match/fc-den-bosch/emmen/20136222,2013,7,eerste_divisie,58,46,1,0,2,0,,2013
