Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Helmond Sport,Fortuna Sittard,0-1,https://www.besoccer.com/match/helmond-sport/fortuna-sittard/20155084,2015,1,eerste_divisie,54,47,2,0,3,0,,2015
TOP Oss,FC Volendam,0-4,https://www.besoccer.com/match/fc-oss/fc-volendam/20155085,2015,1,eerste_divisie,44,55,4,0,1,0,,2015
Roda JC,RKC Waalwijk,3-2,https://www.besoccer.com/match/roda-jc/rkc-waalwijk/20155086,2015,1,eerste_divisie,60,58,3,1,2,1,,2015
Emmen,De Graafschap,1-1,https://www.besoccer.com/match/emmen/graafschap/20155089,2015,1,eerste_divisie,46,56,2,0,5,0,,2015
Almere City,MVV Maastricht,5-0,https://www.besoccer.com/match/almere-city/mvv/20155090,2015,1,eerste_divisie,39,53,0,0,2,0,,2015
VVV Venlo,Jong Twente,1-0,https://www.besoccer.com/match/vvv/jong-twente/20155091,2015,1,eerste_divisie,54,50,1,1,2,1,,2015
Jong PSV,Achilles 29,2-0,https://www.besoccer.com/match/jong-psv/achilles-29/20155083,2015,1,eerste_divisie,51,47,0,0,2,0,,2015
Sparta Rotterdam,Den Bosch,2-1,https://www.besoccer.com/match/sparta-rotterdam/fc-den-bosch/20155088,2015,1,eerste_divisie,56,56,2,0,2,0,,2015
NEC Nijmegen,FC Eindhoven,3-1,https://www.besoccer.com/match/nec/fc-eindhoven/20155092,2015,1,eerste_divisie,60,48,1,0,2,0,,2015
Jong Ajax,SC Telstar,3-0,https://www.besoccer.com/match/jong-ajax/stormvogels-telstar/20155087,2015,1,eerste_divisie,50,44,0,0,2,0,,2015
Den Bosch,VVV Venlo,2-0,https://www.besoccer.com/match/fc-den-bosch/vvv/20155095,2015,2,eerste_divisie,56,54,0,0,3,0,,2015
Achilles 29,Sparta Rotterdam,1-3,https://www.besoccer.com/match/achilles-29/sparta-rotterdam/20155096,2015,2,eerste_divisie,47,56,2,0,2,0,,2015
RKC Waalwijk,TOP Oss,0-4,https://www.besoccer.com/match/rkc-waalwijk/fc-oss/20155097,2015,2,eerste_divisie,58,44,2,0,2,0,,2015
SC Telstar,Roda JC,1-2,https://www.besoccer.com/match/stormvogels-telstar/roda-jc/20155099,2015,2,eerste_divisie,44,60,2,0,1,0,,2015
FC Eindhoven,Emmen,3-0,https://www.besoccer.com/match/fc-eindhoven/emmen/20155100,2015,2,eerste_divisie,48,46,1,0,1,0,,2015
