Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
BV Veendam ,Den Bosch,1-0,https://www.besoccer.com/match/veendam/fc-den-bosch/199718893,1997,1,eerste_divisie,52,64,0,0,0,0,,1997
MVV Maastricht,Excelsior,3-0,https://www.besoccer.com/match/mvv/excelsior/199718894,1997,1,eerste_divisie,64,52,0,0,0,0,,1997
Dordrecht,SC Telstar,2-1,https://www.besoccer.com/match/fc-dordrecht/stormvogels-telstar/199718895,1997,1,eerste_divisie,60,52,0,0,0,0,,1997
HFC Haarlem ,FC Eindhoven,1-2,https://www.besoccer.com/match/haarlem/fc-eindhoven/199718896,1997,1,eerste_divisie,52,52,0,0,0,0,,1997
Go Ahead Eagles,RBC Roosendaal,2-0,https://www.besoccer.com/match/go-ahead-eagles/rbc/199718897,1997,1,eerste_divisie,55,52,0,0,0,0,,1997
Emmen,PEC Zwolle,4-1,https://www.besoccer.com/match/emmen/fc-zwolle/199718898,1997,1,eerste_divisie,52,52,0,0,0,0,,1997
Heracles,ADO Den Haag,1-1,https://www.besoccer.com/match/heracles/ado-den-haag/199718899,1997,1,eerste_divisie,52,63,0,0,0,0,,1997
Helmond Sport,TOP Oss,1-2,https://www.besoccer.com/match/helmond-sport/fc-oss/199718900,1997,1,eerste_divisie,52,52,0,0,0,0,,1997
FC Eindhoven,MVV Maastricht,1-1,https://www.besoccer.com/match/fc-eindhoven/mvv/199718901,1997,1,eerste_divisie,53,64,0,0,0,0,,1997
BV Veendam ,Helmond Sport,0-0,https://www.besoccer.com/match/veendam/helmond-sport/199718902,1997,2,eerste_divisie,53,52,0,0,0,0,,1997
SC Telstar,Go Ahead Eagles,2-4,https://www.besoccer.com/match/stormvogels-telstar/go-ahead-eagles/199718903,1997,2,eerste_divisie,52,55,0,0,0,0,,1997
TOP Oss,Heracles,3-1,https://www.besoccer.com/match/fc-oss/heracles/199718904,1997,2,eerste_divisie,53,53,0,0,0,0,,1997
VVV Venlo,Dordrecht,2-1,https://www.besoccer.com/match/vvv/fc-dordrecht/199718905,1997,2,eerste_divisie,61,60,0,0,0,0,,1997
Excelsior,Cambuur,0-0,https://www.besoccer.com/match/excelsior/sc-cambuur-leeuwarden/199718906,1997,2,eerste_divisie,52,64,0,0,0,0,,1997
PEC Zwolle,Den Bosch,1-0,https://www.besoccer.com/match/fc-zwolle/fc-den-bosch/199718907,1997,2,eerste_divisie,52,64,0,0,0,0,,1997
RBC Roosendaal,Emmen,2-4,https://www.besoccer.com/match/rbc/emmen/199718908,1997,2,eerste_divisie,52,53,0,0,0,0,,1997
ADO Den Haag,HFC Haarlem ,1-0,https://www.besoccer.com/match/ado-den-haag/haarlem/199718909,1997,2,eerste_divisie,63,52,0,0,0,0,,1997
Dordrecht,Excelsior,2-1,https://www.besoccer.com/match/fc-dordrecht/excelsior/199718910,1997,2,eerste_divisie,60,52,0,0,0,0,,1997
RBC Roosendaal,Den Bosch,2-1,https://www.besoccer.com/match/rbc/fc-den-bosch/199718911,1997,3,eerste_divisie,52,63,0,0,0,0,,1997
MVV Maastricht,ADO Den Haag,3-1,https://www.besoccer.com/match/mvv/ado-den-haag/199718912,1997,3,eerste_divisie,64,63,0,0,0,0,,1997
FC Eindhoven,Cambuur,0-0,https://www.besoccer.com/match/fc-eindhoven/sc-cambuur-leeuwarden/199718913,1997,3,eerste_divisie,53,64,0,0,0,0,,1997
HFC Haarlem ,TOP Oss,1-1,https://www.besoccer.com/match/haarlem/fc-oss/199718914,1997,3,eerste_divisie,52,53,0,0,0,0,,1997
Go Ahead Eagles,VVV Venlo,1-0,https://www.besoccer.com/match/go-ahead-eagles/vvv/199718915,1997,3,eerste_divisie,55,61,0,0,0,0,,1997
Emmen,SC Telstar,5-1,https://www.besoccer.com/match/emmen/stormvogels-telstar/199718916,1997,3,eerste_divisie,53,52,0,0,0,0,,1997
Heracles,Helmond Sport,4-1,https://www.besoccer.com/match/heracles/helmond-sport/199718917,1997,3,eerste_divisie,52,52,0,0,0,0,,1997
PEC Zwolle,BV Veendam ,1-1,https://www.besoccer.com/match/fc-zwolle/veendam/199718918,1997,3,eerste_divisie,52,53,0,0,0,0,,1997
Dordrecht,FC Eindhoven,0-0,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/199718919,1997,3,eerste_divisie,60,53,0,0,0,0,,1997
BV Veendam ,Heracles,2-0,https://www.besoccer.com/match/veendam/heracles/199718920,1997,4,eerste_divisie,53,53,0,0,0,0,,1997
SC Telstar,Den Bosch,2-3,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/199718921,1997,4,eerste_divisie,52,63,0,0,0,0,,1997
TOP Oss,MVV Maastricht,1-1,https://www.besoccer.com/match/fc-oss/mvv/199718922,1997,4,eerste_divisie,53,64,0,0,0,0,,1997
Emmen,VVV Venlo,0-0,https://www.besoccer.com/match/emmen/vvv/199718923,1997,4,eerste_divisie,53,61,0,0,0,0,,1997
Helmond Sport,HFC Haarlem ,1-0,https://www.besoccer.com/match/helmond-sport/haarlem/199718924,1997,4,eerste_divisie,52,52,0,0,0,0,,1997
PEC Zwolle,RBC Roosendaal,2-0,https://www.besoccer.com/match/fc-zwolle/rbc/199718925,1997,4,eerste_divisie,52,52,0,0,0,0,,1997
ADO Den Haag,Cambuur,1-0,https://www.besoccer.com/match/ado-den-haag/sc-cambuur-leeuwarden/199718926,1997,4,eerste_divisie,63,64,0,0,0,0,,1997
Excelsior,Go Ahead Eagles,0-1,https://www.besoccer.com/match/excelsior/go-ahead-eagles/199718927,1997,4,eerste_divisie,52,55,0,0,0,0,,1997
Cambuur,VVV Venlo,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/vvv/199718928,1997,4,eerste_divisie,63,61,0,0,0,0,,1997
MVV Maastricht,Helmond Sport,3-2,https://www.besoccer.com/match/mvv/helmond-sport/199718929,1997,5,eerste_divisie,64,52,0,0,0,0,,1997
Dordrecht,ADO Den Haag,0-0,https://www.besoccer.com/match/fc-dordrecht/ado-den-haag/199718930,1997,5,eerste_divisie,60,63,0,0,0,0,,1997
Cambuur,TOP Oss,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-oss/199718931,1997,5,eerste_divisie,64,53,0,0,0,0,,1997
HFC Haarlem ,Heracles,1-3,https://www.besoccer.com/match/haarlem/heracles/199718932,1997,5,eerste_divisie,52,52,0,0,0,0,,1997
SC Telstar,PEC Zwolle,2-1,https://www.besoccer.com/match/stormvogels-telstar/fc-zwolle/199718933,1997,5,eerste_divisie,52,53,0,0,0,0,,1997
Go Ahead Eagles,FC Eindhoven,0-1,https://www.besoccer.com/match/go-ahead-eagles/fc-eindhoven/199718934,1997,5,eerste_divisie,55,53,0,0,0,0,,1997
Emmen,Excelsior,2-1,https://www.besoccer.com/match/emmen/excelsior/199718935,1997,5,eerste_divisie,53,52,0,0,0,0,,1997
Den Bosch,VVV Venlo,2-2,https://www.besoccer.com/match/fc-den-bosch/vvv/199718936,1997,5,eerste_divisie,63,61,0,0,0,0,,1997
RBC Roosendaal,BV Veendam ,0-1,https://www.besoccer.com/match/rbc/veendam/199718937,1997,5,eerste_divisie,52,53,0,0,0,0,,1997
FC Eindhoven,Emmen,2-0,https://www.besoccer.com/match/fc-eindhoven/emmen/199718938,1997,6,eerste_divisie,53,53,0,0,0,0,,1997
BV Veendam ,HFC Haarlem ,1-0,https://www.besoccer.com/match/veendam/haarlem/199718939,1997,6,eerste_divisie,53,52,0,0,0,0,,1997
TOP Oss,Dordrecht,1-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/199718940,1997,6,eerste_divisie,53,60,0,0,0,0,,1997
VVV Venlo,PEC Zwolle,1-1,https://www.besoccer.com/match/vvv/fc-zwolle/199718941,1997,6,eerste_divisie,61,52,0,0,0,0,,1997
Heracles,MVV Maastricht,0-0,https://www.besoccer.com/match/heracles/mvv/199718942,1997,6,eerste_divisie,53,64,0,0,0,0,,1997
Helmond Sport,Cambuur,1-4,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/199718943,1997,6,eerste_divisie,52,63,0,0,0,0,,1997
Excelsior,Den Bosch,0-1,https://www.besoccer.com/match/excelsior/fc-den-bosch/199718944,1997,6,eerste_divisie,52,63,0,0,0,0,,1997
RBC Roosendaal,SC Telstar,1-0,https://www.besoccer.com/match/rbc/stormvogels-telstar/199718945,1997,6,eerste_divisie,52,52,0,0,0,0,,1997
ADO Den Haag,Go Ahead Eagles,3-0,https://www.besoccer.com/match/ado-den-haag/go-ahead-eagles/199718946,1997,6,eerste_divisie,63,55,0,0,0,0,,1997
MVV Maastricht,HFC Haarlem ,3-0,https://www.besoccer.com/match/mvv/haarlem/199718947,1997,7,eerste_divisie,64,52,0,0,0,0,,1997
Dordrecht,Helmond Sport,1-0,https://www.besoccer.com/match/fc-dordrecht/helmond-sport/199718948,1997,7,eerste_divisie,60,52,0,0,0,0,,1997
Cambuur,Heracles,1-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/heracles/199718949,1997,7,eerste_divisie,64,53,0,0,0,0,,1997
SC Telstar,BV Veendam ,1-0,https://www.besoccer.com/match/stormvogels-telstar/veendam/199718950,1997,7,eerste_divisie,52,53,0,0,0,0,,1997
Go Ahead Eagles,TOP Oss,1-0,https://www.besoccer.com/match/go-ahead-eagles/fc-oss/199718951,1997,7,eerste_divisie,55,53,0,0,0,0,,1997
Emmen,ADO Den Haag,2-1,https://www.besoccer.com/match/emmen/ado-den-haag/199718952,1997,7,eerste_divisie,53,63,0,0,0,0,,1997
