Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
VVV Venlo,BV Veendam ,2-4,https://www.besoccer.com/match/vvv/veendam/200222450,2002,1,eerste_divisie,52,49,0,0,1,0,,2002
MVV Maastricht,PEC Zwolle,1-3,https://www.besoccer.com/match/mvv/fc-zwolle/200222451,2002,1,eerste_divisie,58,59,0,0,0,0,,2002
Cambuur,HFC Haarlem ,1-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/haarlem/200222452,2002,1,eerste_divisie,59,45,0,0,0,0,,2002
FC Eindhoven,Helmond Sport,1-1,https://www.besoccer.com/match/fc-eindhoven/helmond-sport/200222453,2002,1,eerste_divisie,51,52,1,0,1,0,,2002
Heracles,TOP Oss,3-0,https://www.besoccer.com/match/heracles/fc-oss/200222455,2002,1,eerste_divisie,48,48,0,0,1,0,,2002
SC Telstar,Excelsior,1-3,https://www.besoccer.com/match/stormvogels-telstar/excelsior/200222456,2002,1,eerste_divisie,48,54,2,0,1,0,,2002
Go Ahead Eagles,RBC Roosendaal,2-2,https://www.besoccer.com/match/go-ahead-eagles/rbc/200222454,2002,1,eerste_divisie,53,48,1,1,1,1,,2002
Dordrecht,ADO Den Haag,1-2,https://www.besoccer.com/match/fc-dordrecht/ado-den-haag/200222457,2002,1,eerste_divisie,53,55,0,0,1,0,,2002
FC Volendam,Emmen,2-1,https://www.besoccer.com/match/fc-volendam/emmen/200222458,2002,1,eerste_divisie,55,54,0,0,1,0,,2002
ADO Den Haag,Go Ahead Eagles,4-0,https://www.besoccer.com/match/ado-den-haag/go-ahead-eagles/200222459,2002,2,eerste_divisie,55,53,2,0,0,0,,2002
RBC Roosendaal,VVV Venlo,2-0,https://www.besoccer.com/match/rbc/vvv/200222460,2002,2,eerste_divisie,48,52,0,0,1,0,,2002
BV Veendam ,FC Volendam,1-0,https://www.besoccer.com/match/veendam/fc-volendam/200222461,2002,2,eerste_divisie,50,55,1,0,0,0,,2002
TOP Oss,MVV Maastricht,3-1,https://www.besoccer.com/match/fc-oss/mvv/200222462,2002,2,eerste_divisie,48,58,1,0,0,0,,2002
PEC Zwolle,SC Telstar,2-1,https://www.besoccer.com/match/fc-zwolle/stormvogels-telstar/200222464,2002,2,eerste_divisie,59,48,0,0,0,0,,2002
Helmond Sport,Cambuur,0-2,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200222463,2002,2,eerste_divisie,52,59,0,0,1,0,,2002
HFC Haarlem ,Dordrecht,1-3,https://www.besoccer.com/match/haarlem/fc-dordrecht/200222465,2002,2,eerste_divisie,45,53,0,0,2,0,,2002
Excelsior,FC Eindhoven,1-0,https://www.besoccer.com/match/excelsior/fc-eindhoven/200222466,2002,2,eerste_divisie,55,50,0,0,1,0,,2002
Emmen,Heracles,1-0,https://www.besoccer.com/match/emmen/heracles/200222467,2002,2,eerste_divisie,54,49,1,0,0,0,,2002
MVV Maastricht,FC Eindhoven,2-2,https://www.besoccer.com/match/mvv/fc-eindhoven/200222468,2002,3,eerste_divisie,57,51,2,0,0,0,,2002
SC Telstar,Helmond Sport,2-0,https://www.besoccer.com/match/stormvogels-telstar/helmond-sport/200222469,2002,3,eerste_divisie,48,52,0,0,1,0,,2002
VVV Venlo,TOP Oss,3-0,https://www.besoccer.com/match/vvv/fc-oss/200222470,2002,3,eerste_divisie,52,48,0,0,1,0,,2002
Dordrecht,BV Veendam ,1-3,https://www.besoccer.com/match/fc-dordrecht/veendam/200222471,2002,3,eerste_divisie,53,50,0,0,0,0,,2002
Cambuur,RBC Roosendaal,1-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/rbc/200222472,2002,3,eerste_divisie,59,48,2,0,1,0,,2002
Heracles,Excelsior,1-2,https://www.besoccer.com/match/heracles/excelsior/200222473,2002,3,eerste_divisie,48,54,1,0,0,0,,2002
