Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Helmond Sport,MVV Maastricht,2-2,https://www.besoccer.com/match/helmond-sport/mvv/201745596,2017,1,eerste_divisie,53,53,3,0,2,0,,2017
NAC Breda,Jong Utrecht,4-1,https://www.besoccer.com/match/nac-breda/jong-utrecht/201745597,2017,1,eerste_divisie,58,52,1,0,0,0,,2017
Dordrecht,TOP Oss,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-oss/201745598,2017,1,eerste_divisie,54,45,2,0,4,0,,2017
Fortuna Sittard,Achilles 29,2-1,https://www.besoccer.com/match/fortuna-sittard/achilles-29/201745599,2017,1,eerste_divisie,45,47,0,1,3,1,,2017
VVV Venlo,Cambuur,2-1,https://www.besoccer.com/match/vvv/sc-cambuur-leeuwarden/201745600,2017,1,eerste_divisie,58,58,2,0,3,0,,2017
FC Volendam,Almere City,1-1,https://www.besoccer.com/match/fc-volendam/almere-city/201745601,2017,1,eerste_divisie,57,45,0,0,1,0,,2017
De Graafschap,FC Eindhoven,4-1,https://www.besoccer.com/match/graafschap/fc-eindhoven/201745602,2017,1,eerste_divisie,56,54,0,0,2,0,,2017
RKC Waalwijk,SC Telstar,1-0,https://www.besoccer.com/match/rkc-waalwijk/stormvogels-telstar/201745603,2017,1,eerste_divisie,53,46,5,0,1,0,,2017
Jong Ajax,Emmen,1-1,https://www.besoccer.com/match/jong-ajax/emmen/201745604,2017,1,eerste_divisie,52,50,1,0,0,0,,2017
Jong PSV,Den Bosch,5-4,https://www.besoccer.com/match/jong-psv/fc-den-bosch/201745605,2017,1,eerste_divisie,52,55,2,0,1,0,,2017
MVV Maastricht,VVV Venlo,1-2,https://www.besoccer.com/match/mvv/vvv/201745606,2017,2,eerste_divisie,53,58,0,0,2,0,,2017
Cambuur,Jong PSV,1-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/jong-psv/201745607,2017,2,eerste_divisie,58,52,0,0,0,0,,2017
Achilles 29,NAC Breda,1-2,https://www.besoccer.com/match/achilles-29/nac-breda/201745608,2017,2,eerste_divisie,47,59,4,0,1,0,,2017
FC Eindhoven,FC Volendam,0-1,https://www.besoccer.com/match/fc-eindhoven/fc-volendam/201745609,2017,2,eerste_divisie,54,57,0,0,0,0,,2017
Emmen,RKC Waalwijk,1-0,https://www.besoccer.com/match/emmen/rkc-waalwijk/201745610,2017,2,eerste_divisie,50,53,1,0,2,0,,2017
TOP Oss,Helmond Sport,3-1,https://www.besoccer.com/match/fc-oss/helmond-sport/201745611,2017,2,eerste_divisie,45,53,1,0,3,0,,2017
Almere City,Jong Ajax,1-4,https://www.besoccer.com/match/almere-city/jong-ajax/201745612,2017,2,eerste_divisie,45,52,0,0,0,0,,2017
SC Telstar,Fortuna Sittard,1-1,https://www.besoccer.com/match/stormvogels-telstar/fortuna-sittard/201745613,2017,2,eerste_divisie,46,45,2,0,2,0,,2017
Den Bosch,De Graafschap,2-1,https://www.besoccer.com/match/fc-den-bosch/graafschap/201745614,2017,2,eerste_divisie,54,56,1,0,2,0,,2017
Jong Utrecht,Dordrecht,1-1,https://www.besoccer.com/match/jong-utrecht/fc-dordrecht/201745615,2017,2,eerste_divisie,52,54,2,0,3,0,,2017
Jong Ajax,Den Bosch,5-2,https://www.besoccer.com/match/jong-ajax/fc-den-bosch/201745616,2017,3,eerste_divisie,52,55,1,0,2,0,,2017
RKC Waalwijk,FC Eindhoven,1-2,https://www.besoccer.com/match/rkc-waalwijk/fc-eindhoven/201745617,2017,3,eerste_divisie,53,53,2,0,1,0,,2017
NAC Breda,MVV Maastricht,1-2,https://www.besoccer.com/match/nac-breda/mvv/201745618,2017,3,eerste_divisie,59,53,1,1,2,1,,2017
VVV Venlo,TOP Oss,2-0,https://www.besoccer.com/match/vvv/fc-oss/201745619,2017,3,eerste_divisie,58,45,1,0,2,0,,2017
Helmond Sport,Achilles 29,1-2,https://www.besoccer.com/match/helmond-sport/achilles-29/201745620,2017,3,eerste_divisie,53,47,1,0,1,0,,2017
Fortuna Sittard,Almere City,2-1,https://www.besoccer.com/match/fortuna-sittard/almere-city/201745621,2017,3,eerste_divisie,45,45,2,0,2,0,,2017
Dordrecht,Cambuur,0-1,https://www.besoccer.com/match/fc-dordrecht/sc-cambuur-leeuwarden/201745622,2017,3,eerste_divisie,54,58,1,1,3,1,,2017
Jong PSV,Emmen,1-0,https://www.besoccer.com/match/jong-psv/emmen/201745623,2017,3,eerste_divisie,52,51,2,0,1,0,,2017
FC Volendam,SC Telstar,3-0,https://www.besoccer.com/match/fc-volendam/stormvogels-telstar/201745624,2017,3,eerste_divisie,57,46,1,0,0,0,,2017
De Graafschap,Jong Utrecht,3-1,https://www.besoccer.com/match/graafschap/jong-utrecht/201745625,2017,3,eerste_divisie,56,52,1,0,2,0,,2017
Den Bosch,FC Volendam,2-5,https://www.besoccer.com/match/fc-den-bosch/fc-volendam/201745626,2017,4,eerste_divisie,54,57,1,0,1,0,,2017
MVV Maastricht,TOP Oss,3-0,https://www.besoccer.com/match/mvv/fc-oss/201745627,2017,4,eerste_divisie,53,45,1,0,1,0,,2017
Dordrecht,NAC Breda,1-2,https://www.besoccer.com/match/fc-dordrecht/nac-breda/201745628,2017,4,eerste_divisie,54,58,2,0,2,0,,2017
Jong Ajax,Fortuna Sittard,2-1,https://www.besoccer.com/match/jong-ajax/fortuna-sittard/201745629,2017,4,eerste_divisie,52,45,2,1,3,1,,2017
FC Eindhoven,Achilles 29,2-1,https://www.besoccer.com/match/fc-eindhoven/achilles-29/201745630,2017,4,eerste_divisie,54,47,2,0,1,0,,2017
