Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Jong Utrecht,FC Eindhoven,1-2,https://www.besoccer.com/match/jong-utrecht/fc-eindhoven/202114529,2021,1,eerste_divisie,44,47,2,0,4,0,,2021
Cambuur,NEC Nijmegen,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/nec/202114530,2021,1,eerste_divisie,59,61,0,0,1,0,,2021
Jong PSV,Excelsior,1-6,https://www.besoccer.com/match/jong-psv/excelsior/202114531,2021,1,eerste_divisie,52,60,2,0,2,0,,2021
TOP Oss,Helmond Sport,1-2,https://www.besoccer.com/match/fc-oss/helmond-sport/202114532,2021,1,eerste_divisie,45,45,4,0,3,0,,2021
NAC Breda,Jong AZ,6-1,https://www.besoccer.com/match/nac-breda/az-alkmaar-sub23/202114533,2021,1,eerste_divisie,53,43,0,0,2,0,,2021
SC Telstar,FC Volendam,2-2,https://www.besoccer.com/match/stormvogels-telstar/fc-volendam/202114534,2021,1,eerste_divisie,50,56,2,0,1,0,,2021
Jong Ajax,Roda JC,0-4,https://www.besoccer.com/match/jong-ajax/roda-jc/202114535,2021,1,eerste_divisie,58,53,1,0,1,0,,2021
Dordrecht,Go Ahead Eagles,0-0,https://www.besoccer.com/match/fc-dordrecht/go-ahead-eagles/202114536,2021,1,eerste_divisie,50,54,3,0,2,0,,2021
Almere City,MVV Maastricht,0-0,https://www.besoccer.com/match/almere-city/mvv/202114537,2021,1,eerste_divisie,54,51,1,0,2,0,,2021
De Graafschap,Den Bosch,4-2,https://www.besoccer.com/match/graafschap/fc-den-bosch/202114538,2021,1,eerste_divisie,55,52,1,0,3,0,,2021
FC Eindhoven,SC Telstar,2-3,https://www.besoccer.com/match/fc-eindhoven/stormvogels-telstar/202114539,2021,2,eerste_divisie,45,49,3,0,3,0,,2021
MVV Maastricht,Cambuur,1-7,https://www.besoccer.com/match/mvv/sc-cambuur-leeuwarden/202114540,2021,2,eerste_divisie,51,60,2,0,2,0,,2021
Roda JC,TOP Oss,3-0,https://www.besoccer.com/match/roda-jc/fc-oss/202114541,2021,2,eerste_divisie,54,45,2,0,0,0,,2021
Excelsior,Almere City,4-6,https://www.besoccer.com/match/excelsior/almere-city/202114542,2021,2,eerste_divisie,60,55,1,0,3,0,,2021
Den Bosch,Dordrecht,2-1,https://www.besoccer.com/match/fc-den-bosch/fc-dordrecht/202114544,2021,2,eerste_divisie,52,49,1,0,4,0,,2021
Helmond Sport,NAC Breda,0-2,https://www.besoccer.com/match/helmond-sport/nac-breda/202114545,2021,2,eerste_divisie,47,54,1,0,0,0,,2021
Jong Ajax,Jong PSV,1-2,https://www.besoccer.com/match/jong-ajax/jong-psv/202114546,2021,2,eerste_divisie,56,51,3,0,2,0,,2021
Jong Utrecht,Jong AZ,1-2,https://www.besoccer.com/match/jong-utrecht/az-alkmaar-sub23/202114547,2021,2,eerste_divisie,45,44,1,1,1,1,,2021
FC Volendam,NEC Nijmegen,1-3,https://www.besoccer.com/match/fc-volendam/nec/202114548,2021,2,eerste_divisie,58,60,0,0,0,0,,2021
Go Ahead Eagles,De Graafschap,0-0,https://www.besoccer.com/match/go-ahead-eagles/graafschap/202114543,2021,2,eerste_divisie,53,55,0,0,0,0,,2021
FC Volendam,Jong Utrecht,0-1,https://www.besoccer.com/match/fc-volendam/jong-utrecht/202114550,2021,3,eerste_divisie,56,44,0,0,0,0,,2021
Dordrecht,Excelsior,1-3,https://www.besoccer.com/match/fc-dordrecht/excelsior/202114551,2021,3,eerste_divisie,49,60,1,0,1,0,,2021
FC Eindhoven,Helmond Sport,0-0,https://www.besoccer.com/match/fc-eindhoven/helmond-sport/202114553,2021,3,eerste_divisie,45,48,0,0,2,0,,2021
Jong AZ,Jong PSV,1-4,https://www.besoccer.com/match/az-alkmaar-sub23/jong-psv/202114549,2021,3,eerste_divisie,44,51,3,0,0,0,,2021
NEC Nijmegen,Jong Ajax,2-1,https://www.besoccer.com/match/nec/jong-ajax/202114552,2021,3,eerste_divisie,62,56,0,0,3,0,,2021
Cambuur,Go Ahead Eagles,0-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/go-ahead-eagles/202114554,2021,3,eerste_divisie,61,53,2,0,4,0,,2021
De Graafschap,Roda JC,4-0,https://www.besoccer.com/match/graafschap/roda-jc/202114555,2021,3,eerste_divisie,55,53,0,0,1,0,,2021
SC Telstar,MVV Maastricht,1-2,https://www.besoccer.com/match/stormvogels-telstar/mvv/202114556,2021,3,eerste_divisie,50,51,1,0,2,0,,2021
NAC Breda,Den Bosch,2-1,https://www.besoccer.com/match/nac-breda/fc-den-bosch/202114557,2021,3,eerste_divisie,54,51,2,0,4,0,,2021
Almere City,TOP Oss,3-0,https://www.besoccer.com/match/almere-city/fc-oss/202114558,2021,3,eerste_divisie,55,45,1,0,2,0,,2021
Helmond Sport,FC Volendam,0-1,https://www.besoccer.com/match/helmond-sport/fc-volendam/202114565,2021,4,eerste_divisie,47,57,4,0,3,0,,2021
Jong PSV,FC Eindhoven,1-2,https://www.besoccer.com/match/jong-psv/fc-eindhoven/202114560,2021,4,eerste_divisie,51,46,1,0,3,0,,2021
Go Ahead Eagles,Jong Ajax,0-3,https://www.besoccer.com/match/go-ahead-eagles/jong-ajax/202114561,2021,4,eerste_divisie,53,56,1,0,5,0,,2021
Roda JC,Dordrecht,4-0,https://www.besoccer.com/match/roda-jc/fc-dordrecht/202114562,2021,4,eerste_divisie,52,49,3,1,2,1,,2021
