Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Go Ahead Eagles,MVV Maastricht,3-2,https://www.besoccer.com/match/go-ahead-eagles/mvv/202012306,2020,1,eerste_divisie,53,53,0,0,1,0,,2020
De Graafschap,Cambuur,2-0,https://www.besoccer.com/match/graafschap/sc-cambuur-leeuwarden/202012307,2020,1,eerste_divisie,52,59,3,0,2,0,,2020
NEC Nijmegen,FC Eindhoven,1-2,https://www.besoccer.com/match/nec/fc-eindhoven/202012308,2020,1,eerste_divisie,63,48,3,0,3,0,,2020
Roda JC,Almere City,1-1,https://www.besoccer.com/match/roda-jc/almere-city/202012309,2020,1,eerste_divisie,56,51,3,1,2,1,,2020
TOP Oss,Jong Ajax,2-1,https://www.besoccer.com/match/fc-oss/jong-ajax/202012310,2020,1,eerste_divisie,48,56,2,0,1,0,,2020
Helmond Sport,FC Volendam,1-1,https://www.besoccer.com/match/helmond-sport/fc-volendam/202012312,2020,1,eerste_divisie,47,52,3,1,1,1,,2020
Dordrecht,NAC Breda,0-2,https://www.besoccer.com/match/fc-dordrecht/nac-breda/202012313,2020,1,eerste_divisie,51,53,3,0,1,0,,2020
Excelsior,Jong Utrecht,2-0,https://www.besoccer.com/match/excelsior/jong-utrecht/202012314,2020,1,eerste_divisie,58,43,1,0,0,0,,2020
Jong AZ,SC Telstar,0-0,https://www.besoccer.com/match/az-alkmaar-sub23/stormvogels-telstar/202012311,2020,1,eerste_divisie,48,45,0,0,3,0,,2020
Jong PSV,Den Bosch,2-2,https://www.besoccer.com/match/jong-psv/fc-den-bosch/202012315,2020,1,eerste_divisie,55,53,0,1,2,1,,2020
Cambuur,Go Ahead Eagles,5-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/go-ahead-eagles/202012316,2020,2,eerste_divisie,59,54,2,0,3,0,,2020
FC Volendam,Roda JC,4-0,https://www.besoccer.com/match/fc-volendam/roda-jc/202012317,2020,2,eerste_divisie,53,57,1,0,0,0,,2020
NAC Breda,Helmond Sport,5-1,https://www.besoccer.com/match/nac-breda/helmond-sport/202012318,2020,2,eerste_divisie,52,48,1,0,1,0,,2020
MVV Maastricht,De Graafschap,0-3,https://www.besoccer.com/match/mvv/graafschap/202012319,2020,2,eerste_divisie,53,52,1,0,0,0,,2020
FC Eindhoven,Dordrecht,5-1,https://www.besoccer.com/match/fc-eindhoven/fc-dordrecht/202012320,2020,2,eerste_divisie,46,51,4,0,3,0,,2020
Den Bosch,SC Telstar,0-1,https://www.besoccer.com/match/fc-den-bosch/stormvogels-telstar/202012321,2020,2,eerste_divisie,53,48,1,0,2,0,,2020
Almere City,Jong PSV,3-2,https://www.besoccer.com/match/almere-city/jong-psv/202012322,2020,2,eerste_divisie,51,55,3,0,1,0,,2020
Jong Utrecht,TOP Oss,2-1,https://www.besoccer.com/match/jong-utrecht/fc-oss/202012323,2020,2,eerste_divisie,43,46,2,0,3,0,,2020
Jong Ajax,NEC Nijmegen,3-3,https://www.besoccer.com/match/jong-ajax/nec/202012324,2020,2,eerste_divisie,56,62,0,0,1,0,,2020
Jong AZ,Excelsior,1-2,https://www.besoccer.com/match/az-alkmaar-sub23/excelsior/202012325,2020,2,eerste_divisie,44,57,0,0,3,0,,2020
Dordrecht,Jong Ajax,2-5,https://www.besoccer.com/match/fc-dordrecht/jong-ajax/202012326,2020,3,eerste_divisie,52,56,1,0,2,0,,2020
NAC Breda,Cambuur,1-0,https://www.besoccer.com/match/nac-breda/sc-cambuur-leeuwarden/202012327,2020,3,eerste_divisie,51,59,1,0,4,0,,2020
Go Ahead Eagles,Jong Utrecht,4-0,https://www.besoccer.com/match/go-ahead-eagles/jong-utrecht/202012328,2020,3,eerste_divisie,53,43,1,0,0,0,,2020
Den Bosch,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-den-bosch/fc-eindhoven/202012329,2020,3,eerste_divisie,51,46,1,0,3,0,,2020
TOP Oss,Jong AZ,1-2,https://www.besoccer.com/match/fc-oss/az-alkmaar-sub23/202012330,2020,3,eerste_divisie,47,44,2,0,1,0,,2020
De Graafschap,FC Volendam,3-0,https://www.besoccer.com/match/graafschap/fc-volendam/202012331,2020,3,eerste_divisie,53,54,0,0,1,0,,2020
Roda JC,NEC Nijmegen,1-2,https://www.besoccer.com/match/roda-jc/nec/202012332,2020,3,eerste_divisie,57,63,1,0,4,0,,2020
SC Telstar,Excelsior,3-0,https://www.besoccer.com/match/stormvogels-telstar/excelsior/202012333,2020,3,eerste_divisie,48,57,1,0,1,0,,2020
Helmond Sport,Almere City,1-1,https://www.besoccer.com/match/helmond-sport/almere-city/202012334,2020,3,eerste_divisie,50,51,2,0,1,0,,2020
Jong PSV,MVV Maastricht,0-1,https://www.besoccer.com/match/jong-psv/mvv/202012335,2020,3,eerste_divisie,55,54,2,0,2,0,,2020
Cambuur,Den Bosch,3-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-den-bosch/202012336,2020,4,eerste_divisie,59,50,1,0,2,0,,2020
FC Volendam,NAC Breda,2-1,https://www.besoccer.com/match/fc-volendam/nac-breda/202012337,2020,4,eerste_divisie,55,50,0,0,1,0,,2020
FC Eindhoven,Go Ahead Eagles,2-1,https://www.besoccer.com/match/fc-eindhoven/go-ahead-eagles/202012338,2020,4,eerste_divisie,46,53,2,0,2,0,,2020
Excelsior,Helmond Sport,3-1,https://www.besoccer.com/match/excelsior/helmond-sport/202012339,2020,4,eerste_divisie,58,49,2,0,3,0,,2020
NEC Nijmegen,SC Telstar,4-2,https://www.besoccer.com/match/nec/stormvogels-telstar/202012340,2020,4,eerste_divisie,63,49,1,0,0,0,,2020
Jong Ajax,Almere City,3-2,https://www.besoccer.com/match/jong-ajax/almere-city/202012341,2020,4,eerste_divisie,57,51,2,0,1,0,,2020
