Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Dordrecht,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/200410771,2004,1,eerste_divisie,49,49,3,0,4,0,,2004
AGOVV Apeldoorn,TOP Oss,1-2,https://www.besoccer.com/match/agovv-apeldoorn/fc-oss/200410772,2004,1,eerste_divisie,53,44,3,0,3,0,,2004
SC Telstar,MVV Maastricht,3-1,https://www.besoccer.com/match/stormvogels-telstar/mvv/200410773,2004,1,eerste_divisie,49,54,2,0,2,0,,2004
Helmond Sport,Cambuur,2-0,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200410774,2004,1,eerste_divisie,53,56,4,0,2,0,,2004
VVV Venlo,Heracles,1-1,https://www.besoccer.com/match/vvv/heracles/200410775,2004,1,eerste_divisie,50,51,0,0,1,0,,2004
Fortuna Sittard,BV Veendam ,2-2,https://www.besoccer.com/match/fortuna-sittard/veendam/200410776,2004,1,eerste_divisie,57,47,2,0,1,0,,2004
Emmen,Excelsior,0-0,https://www.besoccer.com/match/emmen/excelsior/200410777,2004,1,eerste_divisie,57,55,1,0,1,0,,2004
Sparta Rotterdam,De Graafschap,6-1,https://www.besoccer.com/match/sparta-rotterdam/graafschap/200410770,2004,1,eerste_divisie,52,58,1,0,0,0,,2004
HFC Haarlem ,Den Bosch,1-3,https://www.besoccer.com/match/haarlem/fc-den-bosch/200410769,2004,1,eerste_divisie,45,59,0,0,0,0,,2004
BV Veendam ,Helmond Sport,0-3,https://www.besoccer.com/match/veendam/helmond-sport/200410760,2004,2,eerste_divisie,47,53,1,0,1,0,,2004
Den Bosch,Sparta Rotterdam,2-0,https://www.besoccer.com/match/fc-den-bosch/sparta-rotterdam/200410761,2004,2,eerste_divisie,60,53,2,0,1,0,,2004
MVV Maastricht,HFC Haarlem ,1-1,https://www.besoccer.com/match/mvv/haarlem/200410762,2004,2,eerste_divisie,54,44,1,0,3,0,,2004
TOP Oss,SC Telstar,3-0,https://www.besoccer.com/match/fc-oss/stormvogels-telstar/200410763,2004,2,eerste_divisie,44,49,2,0,2,0,,2004
De Graafschap,Fortuna Sittard,1-1,https://www.besoccer.com/match/graafschap/fortuna-sittard/200410764,2004,2,eerste_divisie,58,57,0,0,2,0,,2004
Excelsior,VVV Venlo,0-1,https://www.besoccer.com/match/excelsior/vvv/200410765,2004,2,eerste_divisie,55,50,0,0,0,0,,2004
FC Eindhoven,Emmen,1-1,https://www.besoccer.com/match/fc-eindhoven/emmen/200410766,2004,2,eerste_divisie,49,57,2,0,2,0,,2004
Heracles,AGOVV Apeldoorn,2-4,https://www.besoccer.com/match/heracles/agovv-apeldoorn/200410767,2004,2,eerste_divisie,51,53,2,1,2,1,,2004
Cambuur,Go Ahead Eagles,0-4,https://www.besoccer.com/match/sc-cambuur-leeuwarden/go-ahead-eagles/200410768,2004,2,eerste_divisie,56,53,3,0,1,0,,2004
Emmen,TOP Oss,2-2,https://www.besoccer.com/match/emmen/fc-oss/200410751,2004,3,eerste_divisie,57,45,3,0,3,0,,2004
Den Bosch,De Graafschap,4-2,https://www.besoccer.com/match/fc-den-bosch/graafschap/200410752,2004,3,eerste_divisie,60,58,0,0,1,0,,2004
Go Ahead Eagles,Excelsior,2-3,https://www.besoccer.com/match/go-ahead-eagles/excelsior/200410753,2004,3,eerste_divisie,53,55,0,0,3,0,,2004
Dordrecht,Heracles,2-2,https://www.besoccer.com/match/fc-dordrecht/heracles/200410754,2004,3,eerste_divisie,49,51,2,0,3,0,,2004
