Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Holstein Kiel,Erzgebirge Aue,3-0,https://www.besoccer.com/match/holstein-kiel/fc-erzgebirge-aue/202216276,2022,5,2_liga,56,51,0,0,5,0,,2022
Darmstadt 98,Hannover 96,4-0,https://www.besoccer.com/match/darmstadt-98/hannover-96/202216277,2022,5,2_liga,58,51,1,0,2,0,,2022
Heidenheim,Hamburger SV,0-0,https://www.besoccer.com/match/heidenheim/hamburger-sv/202216278,2022,5,2_liga,61,61,3,0,2,0,,2022
Schalke 04,Fortuna Düsseldorf,3-1,https://www.besoccer.com/match/schalke-04/fortuna-dusseldorf/202216275,2022,5,2_liga,61,56,3,0,3,0,,2022
Werder Bremen,Hansa Rostock,3-0,https://www.besoccer.com/match/werder-bremen/hansa-rostock/202216274,2022,5,2_liga,60,55,0,0,4,0,,2022
FC St. Pauli,Jahn Regensburg,2-0,https://www.besoccer.com/match/st-pauli/ssv-jahn-regensburg/202216279,2022,5,2_liga,55,51,1,0,2,0,,2022
Dynamo Dresden,Paderborn,0-3,https://www.besoccer.com/match/sg-dynamo-dresden/paderborn/202216282,2022,5,2_liga,52,56,2,1,2,1,,2022
Karlsruher SC,Holstein Kiel,2-2,https://www.besoccer.com/match/karlsruher-sc/holstein-kiel/202216284,2022,6,2_liga,57,56,2,0,0,0,,2022
Hannover 96,FC St. Pauli,1-0,https://www.besoccer.com/match/hannover-96/st-pauli/202216288,2022,6,2_liga,52,56,3,0,3,0,,2022
Ingolstadt 04,Werder Bremen,0-3,https://www.besoccer.com/match/fc-ingolstadt-04/werder-bremen/202216291,2022,6,2_liga,55,60,1,0,2,0,,2022
Hamburger SV,Sandhausen,2-1,https://www.besoccer.com/match/hamburger-sv/sv-sandhausen/202216283,2022,6,2_liga,61,50,0,0,3,0,,2022
Heidenheim,Dynamo Dresden,2-1,https://www.besoccer.com/match/heidenheim/sg-dynamo-dresden/202216285,2022,6,2_liga,61,52,2,0,1,0,,2022
Paderborn,Schalke 04,0-1,https://www.besoccer.com/match/paderborn/schalke-04/202216286,2022,6,2_liga,56,61,2,0,1,0,,2022
Erzgebirge Aue,Fortuna Düsseldorf,0-1,https://www.besoccer.com/match/fc-erzgebirge-aue/fortuna-dusseldorf/202216287,2022,6,2_liga,51,56,2,0,2,0,,2022
