Home_Team,City,Country,Stadium,Capacity,Pitch
Rot Weiss Ahlen,Ahlen,Germany,Wersestadion,11498,Natural
SV Babelsberg 03,Potsdam,Germany,Karl-Liebknecht-Stadion,10787,Natural
Union Berlin,Berlin,Germany,Stadion An der Alten Försterei,22012,Natural
Eintracht Trier,Tréveris,Germany,,10256,Natural
Wacker Burghausen,Burghausen,Germany,Wacker-Arena,10200,Natural
Jahn Regensburg,Ratisbona,Germany,Städtisches Jahnstadion,12500,Natural
Erzgebirge Aue,Aue,Germany,Sparkassen-Erzgebirgsstadion,15690,Natural
Dynamo Dresden,Dresden,Germany,DDV-Stadion,32066,Natural
Siegen,Siegen,Germany,,18500,Natural
Paderborn,Paderborn,Germany,Benteler-Arena,15306,Natural
TuS Koblenz,Koblenz,Germany,Stadion Oberwerth,16527,Natural
FC Augsburg,Augsburg,Germany,WWK Arena,30662,Natural
Wehen Burghausen,Burghausen,Germany,,10000,Natural
Hoffenheim,Sinsheim,Germany,WIRSOL Rhein-Neckar-Arena,21000,Natural
Ingolstadt 04,Ingolstadt,Germany,Audi-Sportpark,15729,Natural
VfR Aalen,Aalen,Germany,Scholz Arena,11183,Natural
Sandhausen,Sandhausen,Germany,Hardtwaldstadion,12136,Natural
Heidenheim,Heidenheim an der Brenz,Germany,Voith-Arena,15000,Natural
RB Leipzig,Leipzig,Germany,Red Bull Arena,44345,Natural
Stuttgart,Stuttgart,Germany,Mercedes-Benz-Arena,60469,Natural
Würzburger,Würzburg,Germany,flyeralarm-Arena,14500,Natural
Holstein Kiel,Kiel,Germany,Holstein-Stadion,11522,Natural
Magdeburg,Magdeburg,Germany,,25910,Natural
Hamburger SV,Hamburg,Germany,Volksparkstadion,57030,Natural
Wehen Wiesbaden,Wiesbaden,Germany,BRITA-Arena,13144,Natural
Bayern München,München,Germany,Allianz Arena,75000,Natural
B. Leverkusen,Leverkusen,Germany,BayArena,30210,Natural
Werder Bremen,Bremen,Germany,Weserstadion,42358,Natural
B. Dortmund,Dortmund,Germany,Signal Iduna Park,81359,Natural
West Ham,London,England,London Stadium,80000,Natural
Blackburn Rovers,Blackburn,England,Ewood Park,31367,Natural
